PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
990.0,103,10.6,10.2,97,7.95,0,3,284.6,306.7,285.9
977.0,214,10.0,9.7,98,7.76,5,10,285.1,306.8,286.4
925.0,671,7.6,7.4,99,7.03,165,5,287.1,307.0,288.3
915.0,760,7.3,7.1,99,6.95,140,10,287.6,307.4,288.8
873.0,1146,5.9,5.7,99,6.61,140,24,290.1,309.1,291.2
859.0,1279,5.4,5.2,99,6.50,146,23,290.9,309.7,292.1
850.0,1365,4.8,4.6,99,6.29,150,22,291.2,309.4,292.3
816.0,1692,2.7,2.3,97,5.55,155,19,292.4,308.6,293.4
783.0,2023,0.6,-0.1,95,4.88,150,17,293.6,308.0,294.4
767.0,2188,-0.4,-1.3,94,4.57,140,19,294.2,307.8,295.0
700.0,2921,-5.1,-6.5,90,3.37,140,21,296.8,307.1,297.4
666.0,3309,-7.8,-9.6,87,2.78,150,24,298.0,306.6,298.5
658.0,3404,-8.5,-10.4,86,2.65,139,23,298.3,306.5,298.8
654.0,3451,-8.1,-14.1,62,1.97,133,22,299.2,305.5,299.6
652.0,3475,-8.3,-14.1,63,1.97,130,22,299.3,305.6,299.7
629.0,3752,-10.3,-14.6,71,1.97,125,23,300.1,306.4,300.4
619.0,3875,-10.7,-21.7,40,1.10,122,24,301.0,304.6,301.2
609.0,4000,-11.5,-24.3,34,0.89,120,24,301.5,304.4,301.6
602.0,4089,-12.1,-26.1,30,0.76,122,24,301.8,304.4,301.9
586.0,4294,-13.5,-20.5,56,1.28,127,23,302.5,306.7,302.7
547.0,4814,-16.5,-31.5,26,0.50,139,21,304.9,306.7,305.0
514.0,5276,-20.9,-34.2,29,0.41,150,19,305.1,306.6,305.2
508.0,5363,-21.7,-34.7,30,0.40,144,20,305.1,306.6,305.2
500.0,5480,-22.7,-29.7,53,0.66,135,21,305.3,307.6,305.4
490.0,5628,-23.7,-28.6,64,0.74,120,18,305.8,308.4,305.9
477.0,5825,-25.1,-27.1,83,0.88,116,24,306.5,309.5,306.6
474.0,5871,-24.9,-29.9,63,0.68,115,26,307.3,309.6,307.4
466.0,5995,-25.5,-34.5,43,0.44,112,30,308.0,309.6,308.1
461.0,6073,-26.1,-34.5,45,0.45,110,32,308.3,309.9,308.4
439.0,6426,-28.6,-34.6,56,0.46,135,37,309.4,311.1,309.5
425.0,6660,-30.3,-34.7,65,0.48,130,42,310.1,311.8,310.2
413.0,6863,-31.7,-36.4,63,0.41,125,47,310.8,312.3,310.9
400.0,7090,-33.3,-38.3,61,0.35,125,44,311.6,312.9,311.7
333.0,8348,-42.7,-48.7,52,0.14,125,60,315.5,316.1,315.5
325.0,8509,-44.2,-50.2,51,0.12,125,62,315.7,316.1,315.7
300.0,9040,-49.1,-55.1,49,0.07,130,67,316.0,316.3,316.1
278.0,9533,-53.5,-59.5,48,0.05,137,73,316.6,316.8,316.7
271.0,9697,-54.1,-59.1,54,0.05,140,75,318.1,318.2,318.1
267.0,9792,-54.5,-58.9,58,0.05,140,71,318.9,319.1,318.9
250.0,10210,-56.3,-66.3,27,0.02,140,51,322.2,322.3,322.2
247.0,10287,-56.7,-67.2,25,0.02,140,48,322.8,322.8,322.8
244.0,10364,-57.1,-68.1,24,0.02,141,47,323.3,323.4,323.3
