PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1012.0,10,15.0,13.5,91,9.69,310,10,287.2,314.3,288.9
1010.0,26,15.0,13.5,91,9.69,295,10,287.3,314.5,289.0
1000.0,104,15.0,13.3,90,9.68,305,13,288.1,315.4,289.8
981.0,267,16.0,12.7,81,9.49,342,11,290.7,317.8,292.4
969.0,372,15.5,10.2,71,8.11,5,10,291.2,314.5,292.6
941.0,620,14.2,4.2,51,5.52,40,6,292.4,308.6,293.4
925.0,765,13.0,4.0,54,5.54,60,4,292.6,308.9,293.6
850.0,1468,7.2,2.7,73,5.50,225,8,293.7,309.9,294.6
807.0,1887,4.1,0.5,77,4.92,0,0,294.8,309.5,295.7
700.0,3035,-4.3,-5.7,90,3.59,225,5,297.7,308.7,298.3
692.0,3126,-4.9,-6.1,91,3.52,226,5,298.0,308.8,298.6
669.0,3392,-5.1,-9.1,73,2.88,227,6,300.7,309.7,301.2
630.0,3861,-7.7,-18.7,41,1.39,230,7,302.9,307.5,303.2
613.0,4074,-8.9,-13.7,68,2.18,232,8,303.9,310.9,304.3
598.0,4265,-9.7,-15.7,62,1.89,233,9,305.1,311.3,305.5
578.0,4527,-11.7,-16.3,69,1.86,235,9,305.8,311.9,306.1
533.0,5142,-16.5,-18.9,82,1.62,239,11,307.2,312.6,307.5
519.0,5341,-17.9,-20.4,81,1.46,240,12,307.8,312.7,308.1
500.0,5620,-19.9,-22.6,79,1.25,250,11,308.7,313.0,308.9
441.0,6532,-26.4,-32.1,59,0.59,260,14,311.7,313.9,311.9
400.0,7240,-31.5,-39.5,45,0.31,240,3,314.0,315.1,314.0
387.0,7471,-33.3,-42.1,41,0.24,310,2,314.6,315.5,314.6
369.0,7804,-35.9,-45.9,35,0.17,281,7,315.4,316.1,315.5
359.0,7994,-37.1,-49.1,28,0.12,265,10,316.3,316.8,316.4
349.0,8189,-38.3,-52.3,22,0.09,271,12,317.3,317.6,317.3
