PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1012.0,32,12.8,11.6,92,8.54,20,10,285.0,308.8,286.4
1005.0,90,13.8,11.6,87,8.60,40,11,286.5,310.7,288.0
1000.0,132,17.2,9.2,59,7.35,55,12,290.4,311.5,291.6
998.0,149,17.6,8.6,56,7.07,64,12,290.9,311.3,292.2
991.0,209,17.3,8.3,55,6.96,95,10,291.2,311.3,292.4
941.0,649,14.8,5.8,55,6.18,95,11,293.0,311.1,294.1
937.0,685,14.4,5.7,56,6.16,95,11,293.0,311.0,294.1
925.0,794,13.4,5.4,58,6.11,105,14,293.0,310.9,294.1
875.0,1257,9.8,3.2,63,5.52,120,26,294.0,310.3,295.0
850.0,1499,8.0,2.0,66,5.23,115,27,294.5,310.0,295.4
801.0,1983,3.7,0.5,80,4.98,125,20,295.0,309.8,295.9
780.0,2199,1.8,-0.1,87,4.88,105,20,295.2,309.7,296.0
763.0,2379,0.2,-0.7,94,4.79,114,21,295.3,309.6,296.2
753.0,2484,-0.4,-1.4,93,4.60,120,22,295.8,309.6,296.6
727.0,2764,-2.0,-3.3,90,4.13,90,23,297.0,309.6,297.8
707.0,2987,-3.2,-4.9,89,3.79,100,28,298.0,309.6,298.7
700.0,3066,-3.7,-5.4,88,3.67,90,24,298.4,309.6,299.0
694.0,3134,-3.9,-6.2,84,3.48,75,17,298.8,309.5,299.4
687.0,3214,-4.2,-7.2,80,3.26,75,15,299.4,309.5,300.0
675.0,3353,-4.7,-8.9,73,2.91,100,16,300.3,309.4,300.9
660.0,3530,-5.3,-11.0,64,2.51,90,22,301.6,309.5,302.0
647.0,3687,-5.9,-12.9,58,2.20,95,19,302.6,309.7,303.1
646.0,3699,-6.0,-13.0,58,2.19,95,19,302.7,309.7,303.1
636.0,3820,-6.7,-14.0,56,2.05,115,22,303.2,309.9,303.6
625.0,3956,-7.5,-15.1,54,1.90,100,16,303.9,310.0,304.2
616.0,4069,-8.2,-16.0,53,1.78,120,18,304.4,310.2,304.7
606.0,4196,-8.9,-17.1,51,1.66,105,14,304.9,310.4,305.2
601.0,4260,-9.3,-17.6,51,1.60,110,11,305.2,310.5,305.5
586.0,4457,-10.4,-19.2,48,1.43,115,14,306.1,310.8,306.3
580.0,4537,-10.9,-19.9,47,1.37,103,15,306.4,311.0,306.7
574.0,4616,-11.6,-19.5,52,1.43,90,17,306.6,311.3,306.8
559.0,4819,-13.2,-18.5,64,1.59,85,20,306.9,312.2,307.2
548.0,4971,-14.5,-17.8,76,1.73,97,18,307.1,312.9,307.5
536.0,5137,-15.7,-19.7,72,1.51,110,16,307.6,312.7,307.9
526.0,5279,-16.7,-21.2,68,1.34,90,14,308.1,312.6,308.3
516.0,5423,-17.8,-22.9,65,1.19,100,15,308.5,312.6,308.7
505.0,5585,-19.0,-24.7,61,1.03,85,19,309.0,312.5,309.2
500.0,5660,-19.5,-25.5,59,0.97,95,20,309.2,312.5,309.4
491.0,5794,-20.3,-28.4,49,0.76,105,24,309.8,312.5,309.9
480.0,5962,-21.4,-32.0,38,0.55,115,20,310.6,312.5,310.7
470.0,6117,-22.3,-35.3,30,0.41,110,20,311.2,312.7,311.3
441.0,6582,-25.9,-39.9,26,0.27,96,21,312.4,313.4,312.5
440.0,6598,-26.0,-39.8,26,0.27,95,21,312.4,313.5,312.5
431.0,6746,-27.3,-39.1,31,0.30,110,22,312.7,313.9,312.8
416.0,6999,-29.4,-38.0,43,0.35,85,22,313.2,314.5,313.3
404.0,7209,-31.1,-37.0,56,0.40,115,18,313.6,315.1,313.7
400.0,7280,-31.7,-36.7,61,0.41,115,19,313.7,315.2,313.8
389.0,7476,-33.3,-38.1,62,0.37,130,15,314.1,315.5,314.2
385.0,7548,-34.0,-38.3,65,0.37,135,14,314.2,315.6,314.3
378.0,7676,-35.1,-38.7,70,0.36,134,14,314.3,315.7,314.4
325.0,8703,-44.9,-47.8,73,0.16,126,15,314.7,315.3,314.7
322.0,8764,-45.5,-48.3,73,0.15,125,15,314.6,315.2,314.7
309.0,9037,-48.3,-50.7,76,0.12,137,20,314.5,315.0,314.5
300.0,9230,-49.9,-52.3,76,0.10,145,23,314.9,315.3,314.9
292.0,9404,-51.5,-53.9,75,0.09,150,26,315.1,315.4,315.1
260.0,10150,-58.3,-60.8,73,0.04,155,31,315.7,315.9,315.7
256.0,10248,-55.9,-61.1,52,0.04,155,30,320.6,320.8,320.6
252.0,10349,-53.5,-61.5,37,0.04,148,31,325.7,325.8,325.7
