PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1012.0,32,23.4,17.4,69,12.51,120,6,295.5,331.7,297.8
1001.0,129,21.8,15.8,69,11.36,145,17,294.8,327.6,296.8
1000.0,138,21.6,15.6,69,11.26,145,17,294.8,327.3,296.8
959.0,498,18.2,14.7,80,11.07,125,13,294.8,326.8,296.8
943.0,643,16.8,14.3,85,10.99,140,13,294.8,326.6,296.8
934.0,726,16.0,14.1,88,10.94,138,15,294.9,326.4,296.8
925.0,808,15.6,13.8,89,10.83,135,17,295.2,326.6,297.2
916.0,891,15.0,13.4,90,10.62,140,16,295.5,326.3,297.4
903.0,1012,14.2,12.7,91,10.32,115,15,295.8,325.8,297.7
891.0,1126,13.4,12.1,92,10.05,154,12,296.2,325.4,297.9
889.0,1145,13.3,12.0,92,9.99,160,11,296.2,325.3,298.0
850.0,1522,11.2,9.6,90,8.90,155,12,297.9,324.1,299.5
845.0,1571,10.9,9.1,89,8.67,155,11,298.0,323.6,299.6
819.0,1831,9.1,6.7,85,7.55,140,11,298.8,321.2,300.1
805.0,1974,8.1,5.3,83,6.98,115,12,299.2,320.0,300.5
793.0,2099,7.2,4.1,81,6.51,126,11,299.6,319.1,300.7
784.0,2192,6.6,2.1,73,5.70,135,10,299.9,317.1,300.9
775.0,2287,6.0,0.0,65,4.96,152,10,300.2,315.4,301.1
758.0,2469,5.5,-6.3,42,3.16,185,10,301.6,311.5,302.1
744.0,2621,5.0,-11.6,29,2.12,190,10,302.7,309.5,303.1
743.0,2632,5.0,-12.0,28,2.06,195,9,302.8,309.4,303.2
737.0,2698,4.9,-10.8,31,2.29,225,4,303.4,310.8,303.8
730.0,2776,4.8,-9.4,35,2.58,220,10,304.1,312.4,304.6
729.0,2787,4.8,-9.2,36,2.63,216,11,304.2,312.6,304.7
727.0,2810,4.6,-3.4,56,4.11,208,12,304.2,317.1,305.0
724.0,2843,4.8,-10.3,32,2.41,195,14,304.9,312.6,305.3
722.0,2866,5.0,-15.0,22,1.66,195,14,305.3,310.8,305.6
702.0,3095,4.6,-22.6,12,0.89,190,13,307.3,310.4,307.5
700.0,3118,4.6,-23.4,11,0.83,190,12,307.6,310.4,307.7
699.0,3130,4.6,-23.4,11,0.83,192,12,307.7,310.6,307.8
690.0,3234,3.8,-23.9,11,0.81,215,12,307.9,310.7,308.1
641.0,3824,-0.8,-26.5,12,0.69,190,15,309.2,311.6,309.4
625.0,4027,-2.4,-27.4,13,0.65,195,11,309.7,312.0,309.8
624.0,4040,-2.5,-27.5,13,0.64,199,11,309.7,312.0,309.8
617.0,4129,-3.0,-29.6,11,0.54,225,12,310.2,312.1,310.3
603.0,4310,-3.9,-33.9,8,0.36,224,14,311.1,312.4,311.2
553.0,4987,-7.9,-37.9,7,0.27,221,20,314.2,315.2,314.2
531.0,5300,-10.5,-24.5,31,1.00,220,23,314.7,318.2,314.9
511.0,5594,-11.9,-36.9,11,0.32,236,20,316.5,317.7,316.6
506.0,5669,-12.6,-35.4,13,0.37,240,19,316.5,317.9,316.6
500.0,5760,-13.5,-33.5,17,0.46,230,18,316.5,318.2,316.6
490.0,5914,-14.9,-30.9,24,0.60,229,19,316.6,318.8,316.8
441.0,6696,-21.2,-37.8,21,0.34,225,27,318.3,319.6,318.4
428.0,6918,-23.0,-39.7,20,0.28,215,25,318.8,319.8,318.8
400.0,7420,-27.1,-44.1,18,0.19,220,20,319.7,320.4,319.7
375.0,7880,-30.2,-49.8,13,0.11,225,20,321.5,322.0,321.6
362.0,8132,-31.9,-52.9,11,0.08,229,24,322.5,322.8,322.5
329.0,8793,-37.3,-55.2,14,0.06,240,34,324.0,324.3,324.1
300.0,9430,-42.5,-57.5,18,0.05,240,39,325.4,325.6,325.4
