PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
999.0,103,10.6,9.5,93,7.51,40,3,283.8,304.8,285.1
960.0,434,10.0,6.0,76,6.14,90,16,286.5,303.9,287.5
947.0,547,9.8,4.8,71,5.72,94,21,287.4,303.8,288.4
925.0,742,8.4,3.6,72,5.38,100,30,287.9,303.4,288.8
919.0,795,8.1,3.6,73,5.40,105,31,288.1,303.6,289.0
850.0,1436,3.8,3.1,95,5.66,105,25,290.1,306.5,291.1
824.0,1686,2.1,1.5,96,5.21,95,24,290.9,306.1,291.8
783.0,2097,-0.8,-1.1,98,4.55,110,25,292.1,305.5,292.9
776.0,2170,-1.3,-1.5,99,4.44,123,25,292.3,305.4,293.1
767.0,2263,0.1,-4.0,74,3.72,140,24,294.8,306.0,295.4
765.0,2284,0.4,-4.6,69,3.57,139,24,295.3,306.1,295.9
733.0,2624,-2.0,-5.4,77,3.51,120,19,296.4,307.1,297.0
709.0,2888,-3.8,-6.0,85,3.47,145,20,297.2,307.8,297.8
700.0,2990,-4.5,-6.2,88,3.45,145,17,297.5,308.1,298.1
640.0,3690,-9.3,-10.1,94,2.79,130,17,299.8,308.5,300.2
628.0,3838,-10.3,-10.9,95,2.66,160,20,300.2,308.6,300.7
626.0,3863,-10.4,-11.0,95,2.65,165,20,300.3,308.7,300.8
609.0,4073,-11.5,-12.1,95,2.49,175,16,301.4,309.3,301.9
604.0,4137,-11.9,-12.4,96,2.45,185,17,301.8,309.5,302.2
552.0,4825,-15.5,-16.0,96,2.00,159,25,305.3,311.8,305.7
538.0,5020,-15.7,-19.1,75,1.58,152,27,307.3,312.6,307.6
535.0,5062,-16.0,-19.4,75,1.55,150,28,307.5,312.7,307.8
510.0,5421,-18.3,-21.7,75,1.33,160,30,308.9,313.4,309.1
500.0,5570,-19.3,-22.7,74,1.24,165,24,309.4,313.7,309.7
473.0,5980,-21.5,-25.5,70,1.02,151,23,311.7,315.2,311.9
472.0,5996,-21.6,-25.6,70,1.01,150,23,311.7,315.2,311.9
437.0,6552,-26.1,-31.1,63,0.66,165,14,312.9,315.3,313.1
418.0,6872,-28.7,-34.2,59,0.51,155,19,313.6,315.4,313.7
400.0,7190,-31.3,-37.3,55,0.39,160,22,314.2,315.7,314.3
370.0,7732,-35.7,-41.7,54,0.27,155,23,315.4,316.5,315.5
340.0,8320,-40.5,-46.5,52,0.17,167,29,316.6,317.3,316.7
320.0,8729,-44.0,-50.0,51,0.12,175,34,317.3,317.8,317.3
313.0,8878,-45.3,-51.3,51,0.11,172,31,317.5,318.0,317.6
300.0,9160,-47.7,-53.7,50,0.09,165,26,318.0,318.4,318.0
297.0,9225,-48.3,-54.2,51,0.08,165,24,318.0,318.4,318.1
287.0,9446,-50.5,-55.8,53,0.07,185,22,318.1,318.4,318.1
262.0,10033,-56.2,-60.0,62,0.05,185,23,318.1,318.3,318.1
259.0,10108,-56.9,-60.5,64,0.04,183,24,318.1,318.3,318.1
250.0,10330,-58.5,-62.0,64,0.04,175,26,319.0,319.1,319.0
228.0,10901,-62.5,-66.5,59,0.02,165,35,321.3,321.4,321.3
216.0,11235,-64.9,-69.1,56,0.02,180,41,322.7,322.7,322.7
213.0,11321,-63.6,-68.1,54,0.02,190,43,325.9,326.0,325.9
208.0,11467,-61.5,-66.5,51,0.02,204,34,331.5,331.6,331.5
201.0,11679,-62.4,-69.1,40,0.02,225,22,333.4,333.4,333.4
200.0,11710,-62.5,-69.5,38,0.02,225,21,333.6,333.7,333.6
193.0,11928,-63.9,-71.4,35,0.01,220,17,334.9,334.9,334.9
191.0,11991,-64.3,-71.9,34,0.01,200,13,335.2,335.3,335.2
187.0,12121,-65.1,-73.0,33,0.01,180,16,335.9,336.0,335.9
186.0,12154,-65.3,-73.3,32,0.01,179,17,336.1,336.1,336.1
182.0,12287,-61.1,-72.1,22,0.01,174,23,345.0,345.1,345.0
174.0,12568,-59.3,-75.9,10,0.01,165,34,352.4,352.5,352.4
169.0,12750,-58.1,-78.4,6,0.01,180,37,357.3,357.4,357.3
168.0,12787,-57.9,-78.9,5,0.00,184,35,358.3,358.4,358.3
165.0,12900,-57.8,-79.3,5,0.00,195,30,360.3,360.3,360.3
155.0,13294,-57.6,-80.8,4,0.00,185,32,367.2,367.2,367.2
150.0,13500,-57.5,-81.5,3,0.00,200,35,370.8,370.8,370.8
142.0,13848,-55.9,-81.7,3,0.00,220,37,379.4,379.5,379.4
141.0,13892,-55.7,-81.7,3,0.00,221,36,380.6,380.6,380.6
135.0,14167,-56.2,-82.2,2,0.00,225,27,384.4,384.5,384.4
128.0,14503,-56.8,-82.8,2,0.00,205,26,389.2,389.2,389.2
123.0,14754,-57.3,-83.3,2,0.00,220,17,392.8,392.8,392.8
112.0,15345,-58.4,-84.4,2,0.00,215,15,401.4,401.5,401.4
100.0,16060,-59.7,-85.7,2,0.00,215,32,412.1,412.1,412.1
89.0,16792,-58.4,-85.0,2,0.00,215,23,428.7,428.7,428.7
84.0,17155,-57.7,-84.7,2,0.00,235,29,437.2,437.2,437.2
83.8,17170,-57.7,-84.7,2,0.00,235,29,437.5,437.5,437.5
72.0,18123,-59.4,-86.4,2,0.00,225,38,453.3,453.4,453.3
70.0,18300,-59.7,-86.7,2,0.00,235,33,456.3,456.3,456.3
67.0,18572,-60.1,-87.1,2,0.00,255,22,461.3,461.3,461.3
66.0,18665,-60.2,-87.2,2,0.00,245,19,463.0,463.0,463.0
64.0,18857,-60.5,-87.5,2,0.00,230,22,466.5,466.5,466.5
60.0,19258,-61.0,-88.0,2,0.00,250,26,474.0,474.0,474.0
57.9,19479,-61.3,-88.3,2,0.00,240,22,478.1,478.1,478.1
56.0,19686,-60.9,-88.2,2,0.00,230,18,483.5,483.6,483.5
52.0,20146,-60.1,-87.9,2,0.00,240,32,495.8,495.8,495.8
50.0,20390,-59.7,-87.7,1,0.00,240,24,502.4,502.4,502.4
49.0,20517,-59.5,-87.5,2,0.00,240,24,505.8,505.8,505.8
48.1,20633,-59.3,-87.3,2,0.00,245,21,508.9,508.9,508.9
45.0,21047,-60.5,-87.9,2,0.00,265,12,515.8,515.9,515.8
44.0,21186,-60.9,-88.1,2,0.00,255,8,518.2,518.2,518.2
42.0,21475,-61.7,-88.5,2,0.00,200,19,523.1,523.1,523.1
40.0,21778,-62.6,-88.9,2,0.00,230,17,528.2,528.2,528.2
38.4,22032,-63.3,-89.3,2,0.00,238,25,532.6,532.6,532.6
