PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1014.0,32,14.2,9.8,75,7.55,20,4,286.2,307.5,287.5
1006.0,101,18.0,7.0,49,6.28,71,5,290.6,308.8,291.8
1000.0,153,17.8,5.8,45,5.81,110,5,290.9,307.9,292.0
978.0,343,16.4,5.4,48,5.78,117,7,291.4,308.2,292.4
935.0,723,12.7,4.9,59,5.85,130,10,291.4,308.4,292.4
925.0,814,11.8,4.8,62,5.86,125,14,291.4,308.4,292.4
870.0,1321,7.5,4.2,80,5.95,130,25,292.0,309.4,293.0
850.0,1514,5.8,3.9,88,5.99,140,17,292.2,309.7,293.3
845.0,1562,5.4,4.3,93,6.20,145,17,292.3,310.3,293.4
832.0,1688,4.7,3.7,94,6.05,130,10,292.8,310.5,293.9
826.0,1747,4.4,3.5,94,5.98,140,7,293.1,310.6,294.1
801.0,1997,3.0,2.4,96,5.69,115,10,294.2,311.0,295.2
788.0,2130,2.2,1.8,97,5.54,150,10,294.8,311.2,295.8
774.0,2276,1.4,1.1,98,5.38,138,11,295.4,311.4,296.4
748.0,2550,0.3,-0.9,91,4.81,115,13,297.1,311.6,298.0
740.0,2637,0.0,-1.5,89,4.64,130,12,297.7,311.7,298.5
731.0,2735,-0.4,-2.2,87,4.46,125,14,298.3,311.9,299.1
723.0,2823,-0.7,-2.9,85,4.29,155,12,298.9,312.0,299.7
707.0,3002,-2.1,-3.7,88,4.13,120,15,299.3,311.9,300.0
700.0,3081,-2.7,-4.1,90,4.05,130,16,299.5,311.9,300.2
693.0,3160,-3.2,-4.6,90,3.94,135,16,299.7,311.8,300.4
680.0,3308,-4.3,-5.5,91,3.74,130,14,300.2,311.7,300.9
673.0,3388,-4.8,-6.0,91,3.64,165,13,300.4,311.7,301.1
630.0,3904,-8.5,-9.3,94,3.02,125,11,302.0,311.5,302.6
613.0,4118,-10.0,-10.6,95,2.79,160,13,302.7,311.5,303.2
601.0,4273,-11.0,-11.6,96,2.63,125,11,303.1,311.5,303.6
596.0,4338,-11.5,-12.0,96,2.57,125,11,303.3,311.5,303.8
592.0,4390,-11.1,-18.1,56,1.56,125,11,304.4,309.5,304.7
587.0,4455,-10.9,-18.9,52,1.47,125,11,305.4,310.2,305.6
586.0,4468,-10.9,-18.9,52,1.47,125,11,305.5,310.4,305.8
579.0,4561,-11.3,-21.3,43,1.21,125,10,306.1,310.2,306.3
564.0,4761,-13.0,-18.9,61,1.53,125,10,306.4,311.5,306.7
557.0,4856,-13.8,-17.8,72,1.71,145,12,306.6,312.3,306.9
547.0,4994,-14.9,-16.1,91,2.00,149,13,306.8,313.4,307.2
543.0,5050,-15.2,-16.7,89,1.92,150,13,307.1,313.4,307.4
