PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1009.0,32,18.2,11.2,64,8.34,110,16,290.6,314.5,292.1
1007.0,49,18.0,11.0,64,8.26,125,14,290.6,314.2,292.0
1000.0,107,17.4,10.4,63,7.97,125,22,290.6,313.4,291.9
977.0,304,15.8,10.1,69,8.00,115,27,290.9,313.8,292.3
925.0,767,12.0,9.4,84,8.06,150,26,291.6,314.8,293.0
914.0,866,11.3,8.7,84,7.77,155,29,291.9,314.2,293.2
871.0,1267,8.4,5.8,84,6.70,145,26,292.9,312.4,294.1
858.0,1392,7.5,5.0,84,6.39,160,26,293.3,311.9,294.4
850.0,1470,7.0,4.4,84,6.20,155,24,293.5,311.6,294.6
800.0,1966,3.2,2.3,94,5.68,150,21,294.5,311.3,295.6
798.0,1986,3.1,2.3,95,5.70,150,21,294.6,311.5,295.6
793.0,2037,2.8,2.4,97,5.77,151,21,294.9,311.9,295.9
743.0,2562,-0.1,-0.7,96,4.92,163,25,297.2,312.0,298.1
737.0,2627,-0.4,-1.9,89,4.53,165,25,297.6,311.3,298.4
726.0,2748,-0.9,-4.2,78,3.88,160,24,298.3,310.2,299.0
713.0,2892,-0.5,-9.5,51,2.62,154,22,300.3,308.6,300.8
704.0,2994,-1.3,-9.6,53,2.63,150,21,300.5,308.8,301.0
700.0,3039,-1.7,-9.7,54,2.63,150,20,300.6,308.9,301.1
690.0,3153,-2.9,-9.9,59,2.62,157,21,300.5,308.8,300.9
671.0,3373,-4.3,-17.7,35,1.43,170,22,301.3,305.9,301.5
629.0,3880,-7.7,-35.7,9,0.29,162,23,303.1,304.1,303.1
621.0,3979,-8.4,-35.4,9,0.30,160,23,303.3,304.4,303.4
614.0,4067,-9.1,-35.1,10,0.32,163,22,303.5,304.7,303.6
605.0,4181,-9.7,-21.7,37,1.12,166,22,304.1,307.9,304.3
599.0,4258,-9.9,-30.9,16,0.49,168,21,304.8,306.5,304.9
591.0,4362,-10.1,-14.8,68,2.06,171,21,305.7,312.4,306.1
582.0,4480,-11.3,-14.2,79,2.20,175,20,305.6,312.8,306.1
580.0,4506,-11.5,-14.9,76,2.08,176,20,305.7,312.5,306.1
576.0,4559,-11.3,-26.3,28,0.78,177,20,306.6,309.2,306.7
570.0,4640,-11.3,-39.3,8,0.22,180,19,307.5,308.3,307.5
567.0,4680,-11.5,-20.5,47,1.33,181,19,307.7,312.2,307.9
557.0,4815,-12.6,-20.5,52,1.35,185,18,307.9,312.5,308.2
543.0,5007,-14.2,-20.6,59,1.38,200,22,308.3,312.9,308.6
504.0,5571,-18.9,-20.7,86,1.47,205,24,309.2,314.2,309.5
500.0,5630,-19.3,-21.2,85,1.42,205,24,309.4,314.2,309.7
486.0,5840,-21.1,-27.1,58,0.86,215,27,309.8,312.8,309.9
483.0,5885,-20.7,-37.7,20,0.31,214,27,310.8,311.9,310.9
481.0,5916,-20.7,-34.7,27,0.42,213,27,311.2,312.7,311.2
438.0,6600,-25.5,-28.3,77,0.85,196,26,313.5,316.5,313.7
414.0,7004,-28.4,-32.0,71,0.63,185,25,314.9,317.2,315.1
400.0,7250,-30.1,-34.3,67,0.53,190,29,315.8,317.7,315.9
380.0,7611,-32.8,-37.3,64,0.41,195,31,316.9,318.5,317.0
347.0,8250,-37.5,-42.5,59,0.26,199,30,318.9,319.9,318.9
300.0,9240,-46.3,-51.2,57,0.11,205,29,320.0,320.4,320.0
284.0,9599,-49.7,-55.7,49,0.07,207,25,320.2,320.5,320.2
261.0,10143,-52.5,-58.5,48,0.05,210,20,323.9,324.1,323.9
250.0,10420,-53.9,-59.9,48,0.05,200,27,325.8,326.0,325.8
243.0,10600,-55.2,-61.4,46,0.04,200,26,326.5,326.7,326.5
214.0,11406,-61.1,-68.0,39,0.02,230,40,329.5,329.6,329.5
212.0,11466,-61.5,-68.5,39,0.02,230,45,329.7,329.8,329.7
200.0,11830,-60.1,-71.1,22,0.01,230,53,337.4,337.5,337.4
191.0,12116,-59.5,-76.5,9,0.01,230,59,342.9,342.9,342.9
178.0,12557,-58.5,-79.5,5,0.00,230,68,351.5,351.6,351.5
160.0,13224,-56.9,-83.9,2,0.00,233,58,365.1,365.1,365.1
150.0,13630,-56.9,-85.9,1,0.00,235,52,371.8,371.9,371.8
128.0,14620,-61.0,-88.2,2,0.00,240,32,381.8,381.8,381.8
117.0,15181,-63.3,-89.5,2,0.00,210,44,387.5,387.5,387.5
115.0,15289,-63.7,-89.7,2,0.00,215,46,388.6,388.6,388.6
113.0,15397,-63.5,-89.7,2,0.00,220,49,390.8,390.8,390.8
110.0,15563,-63.2,-89.6,2,0.00,230,44,394.4,394.4,394.4
100.0,16150,-62.3,-89.3,2,0.00,235,43,407.1,407.1,407.1
96.0,16402,-61.1,-89.6,1,0.00,240,50,414.1,414.1,414.1
91.9,16672,-59.9,-89.9,1,0.00,250,38,421.8,421.8,421.8
86.0,17084,-60.2,-90.0,1,0.00,265,19,429.2,429.2,429.2
81.0,17455,-60.5,-90.1,1,0.00,270,17,435.9,435.9,435.9
78.0,17689,-60.7,-90.1,1,0.00,295,18,440.3,440.3,440.3
76.0,17850,-60.9,-90.2,1,0.00,270,14,443.3,443.3,443.3
74.0,18015,-61.0,-90.2,1,0.00,240,19,446.4,446.4,446.4
