PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1002.0,32,11.6,9.5,87,7.49,20,12,284.6,305.5,285.9
1000.0,49,11.4,9.3,87,7.40,20,11,284.6,305.2,285.8
969.0,312,11.2,6.9,75,6.48,25,29,286.9,305.4,288.1
933.0,628,11.0,4.0,62,5.49,49,27,289.8,305.8,290.8
925.0,700,10.4,3.4,62,5.31,55,27,289.9,305.4,290.9
880.0,1112,7.6,2.0,68,5.06,80,16,291.2,306.0,292.1
850.0,1398,5.6,1.1,73,4.90,80,23,292.0,306.4,292.9
754.0,2357,-1.5,-3.3,87,3.98,100,23,294.5,306.4,295.2
700.0,2952,-5.9,-6.1,98,3.48,105,27,295.9,306.5,296.5
679.0,3190,-7.9,-8.1,98,3.07,102,29,296.3,305.7,296.8
646.0,3577,-10.3,-10.4,99,2.69,98,33,297.8,306.2,298.3
597.0,4182,-13.3,-19.3,61,1.40,90,40,301.1,305.7,301.4
595.0,4207,-13.5,-19.4,61,1.40,90,40,301.2,305.8,301.4
545.0,4870,-18.3,-21.0,79,1.32,90,35,303.1,307.5,303.4
540.0,4939,-18.3,-24.3,59,1.00,90,34,303.9,307.3,304.1
519.0,5234,-20.5,-24.1,73,1.06,90,32,304.7,308.2,304.9
512.0,5335,-21.3,-24.0,79,1.08,94,34,304.9,308.6,305.1
500.0,5510,-21.9,-26.5,66,0.88,100,37,306.3,309.3,306.4
493.0,5613,-22.5,-28.5,58,0.74,101,38,306.8,309.4,306.9
454.0,6199,-27.8,-33.0,61,0.53,105,44,307.5,309.3,307.6
424.0,6686,-32.2,-36.7,64,0.39,115,41,307.9,309.3,308.0
400.0,7100,-35.9,-39.9,67,0.30,100,40,308.2,309.4,308.3
391.0,7258,-37.5,-40.8,71,0.28,96,40,308.2,309.2,308.2
388.0,7312,-36.9,-44.9,43,0.18,94,40,309.6,310.3,309.7
387.0,7330,-36.9,-45.9,39,0.16,94,40,309.9,310.5,309.9
383.0,7402,-36.9,-51.9,20,0.08,92,40,310.8,311.1,310.8
369.0,7660,-37.2,-55.1,14,0.06,85,40,313.7,314.0,313.7
355.0,7928,-37.5,-58.5,9,0.04,93,55,316.8,317.0,316.8
351.0,8007,-37.1,-61.0,7,0.03,95,59,318.3,318.4,318.3
340.0,8228,-36.1,-68.1,2,0.01,85,49,322.6,322.7,322.6
324.0,8560,-38.3,-68.7,3,0.01,70,35,324.1,324.2,324.1
312.0,8820,-40.0,-69.2,3,0.01,75,33,325.3,325.3,325.3
300.0,9090,-41.7,-69.7,3,0.01,65,36,326.5,326.5,326.5
287.0,9387,-43.7,-73.7,2,0.01,65,39,327.8,327.8,327.8
278.0,9600,-42.9,-72.9,2,0.01,65,40,331.9,332.0,331.9
256.0,10152,-43.2,-71.5,3,0.01,65,45,339.3,339.4,339.3
253.0,10230,-43.3,-71.3,3,0.01,60,43,340.4,340.4,340.4
250.0,10310,-43.9,-71.9,3,0.01,55,40,340.7,340.7,340.7
245.0,10444,-44.6,-72.6,3,0.01,45,47,341.6,341.6,341.6
225.0,11011,-47.6,-75.6,3,0.01,65,34,345.4,345.4,345.4
212.0,11407,-49.7,-77.7,2,0.00,50,47,348.1,348.1,348.1
206.0,11596,-49.8,-77.8,2,0.00,55,49,350.8,350.8,350.8
200.0,11790,-49.9,-77.9,2,0.00,60,47,353.6,353.6,353.6
186.0,12263,-50.0,-78.4,2,0.00,70,26,360.8,360.8,360.8
174.0,12698,-50.2,-78.9,2,0.00,75,33,367.5,367.5,367.5
166.0,13004,-50.3,-79.3,2,0.00,60,21,372.3,372.3,372.3
165.0,13044,-50.3,-79.3,2,0.00,51,21,372.9,372.9,372.9
161.0,13202,-51.1,-79.6,2,0.00,15,20,374.1,374.2,374.1
158.0,13324,-51.8,-79.8,2,0.00,5,17,375.1,375.1,375.1
150.0,13660,-53.5,-80.5,2,0.00,20,28,377.7,377.7,377.7
144.0,13921,-54.4,-81.4,2,0.00,30,27,380.5,380.5,380.5
136.0,14287,-55.8,-82.8,2,0.00,10,20,384.4,384.4,384.4
134.0,14382,-56.1,-83.1,2,0.00,25,21,385.4,385.5,385.4
131.0,14526,-54.5,-81.5,2,0.00,40,24,390.8,390.8,390.8
124.0,14876,-55.9,-82.5,2,0.00,35,32,394.4,394.4,394.4
