PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1008.0,32,14.0,12.2,89,8.93,0,4,286.5,311.5,288.0
1001.0,90,14.2,10.6,79,8.09,20,10,287.2,310.1,288.6
1000.0,98,14.2,10.4,78,7.97,15,11,287.4,309.9,288.7
994.0,149,14.5,9.7,73,7.66,0,15,288.2,309.9,289.5
993.0,158,14.6,9.6,72,7.61,358,15,288.3,309.9,289.6
985.0,226,14.1,9.4,73,7.55,345,11,288.5,309.9,289.8
925.0,754,10.0,7.6,85,7.13,90,3,289.5,309.9,290.8
909.0,899,9.0,7.3,89,7.10,93,2,289.9,310.3,291.2
896.0,1018,8.4,6.7,89,6.93,95,2,290.5,310.5,291.7
868.0,1280,7.1,5.5,90,6.57,60,10,291.8,310.9,292.9
854.0,1414,6.4,4.9,90,6.39,25,10,292.4,311.1,293.6
850.0,1453,6.2,4.7,90,6.34,30,11,292.6,311.1,293.8
840.0,1549,5.6,4.2,91,6.20,50,15,293.0,311.1,294.1
811.0,1834,3.8,2.8,93,5.79,50,22,294.0,311.1,295.0
798.0,1965,2.9,2.1,94,5.62,75,29,294.5,311.1,295.5
769.0,2265,1.0,0.6,97,5.22,75,36,295.5,311.1,296.4
747.0,2501,-0.5,-0.6,99,4.93,81,35,296.4,311.1,297.2
700.0,3019,-2.9,-2.9,100,4.43,95,34,299.2,312.8,300.1
683.0,3209,-4.0,-4.2,98,4.12,95,36,300.1,312.8,300.9
639.0,3724,-6.9,-7.8,94,3.35,105,37,302.6,313.1,303.2
603.0,4172,-9.5,-10.9,89,2.78,90,31,304.7,313.6,305.2
567.0,4648,-12.2,-14.2,85,2.26,75,38,306.9,314.3,307.3
521.0,5301,-15.9,-18.7,79,1.69,72,44,309.9,315.6,310.2
500.0,5610,-18.1,-20.5,81,1.51,70,47,310.9,316.0,311.2
442.0,6521,-24.9,-26.7,85,0.98,70,51,313.5,316.9,313.7
428.0,6755,-26.5,-29.7,74,0.77,70,52,314.3,317.1,314.5
418.0,6924,-28.0,-31.7,70,0.65,70,53,314.6,316.9,314.7
400.0,7240,-30.7,-35.4,63,0.47,75,48,315.0,316.7,315.1
387.0,7474,-32.9,-39.9,50,0.31,83,51,315.1,316.3,315.2
358.0,8018,-37.7,-42.7,59,0.25,102,59,315.8,316.7,315.8
354.0,8095,-38.3,-46.5,42,0.17,105,60,315.9,316.6,315.9
353.0,8115,-38.5,-47.5,38,0.15,105,60,316.0,316.5,316.0
328.0,8615,-43.3,-47.6,62,0.16,103,65,316.1,316.7,316.1
300.0,9210,-48.7,-54.7,50,0.08,100,70,316.6,316.9,316.6
290.0,9432,-50.7,-57.7,43,0.05,105,74,316.8,317.1,316.9
278.0,9709,-48.7,-64.7,14,0.02,97,59,323.6,323.7,323.6
269.0,9925,-49.4,-70.8,6,0.01,90,47,325.6,325.6,325.6
268.0,9949,-49.5,-71.5,6,0.01,89,47,325.8,325.9,325.8
251.0,10374,-53.7,-70.7,11,0.01,80,54,325.7,325.8,325.7
250.0,10400,-53.5,-70.5,11,0.01,80,54,326.4,326.4,326.4
247.0,10478,-51.8,-71.3,8,0.01,80,52,330.1,330.1,330.1
244.0,10557,-50.1,-72.1,6,0.01,74,51,333.8,333.8,333.8
234.0,10829,-51.3,-76.4,3,0.01,55,49,335.9,335.9,335.9
223.0,11141,-52.8,-81.4,2,0.00,60,60,338.4,338.4,338.4
222.0,11170,-52.9,-81.9,2,0.00,62,60,338.6,338.6,338.6
210.0,11532,-50.3,-82.1,1,0.00,80,56,348.0,348.0,348.0
201.0,11817,-48.3,-82.3,1,0.00,70,33,355.6,355.6,355.6
200.0,11850,-48.3,-82.3,1,0.00,65,33,356.1,356.1,356.1
189.0,12214,-50.0,-83.3,1,0.00,55,29,359.3,359.3,359.3
174.0,12746,-52.4,-84.8,1,0.00,70,36,363.9,363.9,363.9
168.0,12972,-53.4,-85.5,1,0.00,75,26,365.9,365.9,365.9
