PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1014.0,32,14.2,10.2,77,7.76,0,0,286.2,308.0,287.6
1009.0,76,15.6,11.1,75,8.27,80,12,288.0,311.4,289.4
1006.0,102,16.4,11.6,73,8.59,100,14,289.1,313.4,290.6
1000.0,155,16.4,11.5,73,8.59,120,14,289.6,314.0,291.1
997.0,180,16.2,11.4,74,8.59,125,13,289.6,314.0,291.1
982.0,309,15.1,11.2,78,8.59,125,18,289.7,314.1,291.2
970.0,413,14.2,11.0,82,8.59,125,12,289.8,314.3,291.3
955.0,545,13.0,10.8,86,8.58,149,11,289.9,314.4,291.4
951.0,580,12.7,10.5,86,8.45,155,11,290.0,314.1,291.5
925.0,813,11.0,8.5,85,7.58,145,15,290.6,312.3,291.9
922.0,840,10.8,8.1,83,7.41,145,14,290.6,311.9,291.9
911.0,940,10.2,6.7,79,6.80,165,13,291.0,310.6,292.2
889.0,1143,8.9,3.8,71,5.70,165,12,291.6,308.3,292.7
868.0,1341,7.6,1.0,63,4.77,140,10,292.3,306.4,293.1
862.0,1399,7.2,0.2,61,4.52,148,10,292.5,305.9,293.3
853.0,1485,6.4,2.5,76,5.40,161,10,292.5,308.4,293.5
850.0,1514,6.2,2.6,78,5.46,165,10,292.6,308.6,293.6
814.0,1868,4.6,-2.4,60,3.96,196,10,294.6,306.5,295.3
810.0,1908,4.6,-4.9,50,3.30,200,10,295.0,305.0,295.6
806.0,1949,4.6,-7.4,41,2.73,211,10,295.4,303.8,295.9
801.0,1999,4.3,-7.0,44,2.84,225,10,295.6,304.3,296.1
792.0,2091,3.6,-6.2,48,3.04,220,6,295.9,305.2,296.4
762.0,2403,1.6,-3.7,68,3.83,215,11,296.9,308.5,297.6
757.0,2457,1.2,-3.3,72,3.98,227,11,297.1,309.1,297.8
756.0,2467,1.2,-3.4,71,3.95,230,11,297.1,309.1,297.8
746.0,2574,0.8,-4.7,67,3.64,215,11,297.9,309.0,298.5
732.0,2726,0.2,-6.5,61,3.23,240,12,298.9,308.9,299.5
718.0,2881,-0.3,-8.3,55,2.86,219,11,299.9,308.9,300.5
712.0,2948,-0.9,-8.2,58,2.90,210,11,300.0,309.1,300.5
700.0,3084,-2.1,-8.1,63,2.98,220,14,300.1,309.4,300.7
698.0,3107,-2.3,-8.3,63,2.93,220,14,300.2,309.4,300.7
683.0,3278,-3.5,-10.2,59,2.58,210,15,300.7,308.9,301.2
666.0,3477,-4.8,-12.4,55,2.22,230,13,301.4,308.4,301.8
658.0,3572,-5.5,-13.5,53,2.06,221,14,301.6,308.3,302.0
622.0,4007,-9.1,-15.3,60,1.87,180,17,302.4,308.5,302.8
592.0,4388,-12.2,-17.0,68,1.72,200,16,303.1,308.7,303.4
586.0,4467,-12.9,-17.3,70,1.69,186,16,303.2,308.7,303.5
582.0,4519,-12.5,-21.5,47,1.19,177,16,304.2,308.2,304.5
579.0,4559,-12.7,-23.1,42,1.04,170,16,304.5,308.0,304.6
570.0,4678,-13.3,-27.9,28,0.68,175,13,305.1,307.5,305.2
567.0,4718,-13.5,-29.5,25,0.59,187,12,305.4,307.4,305.5
561.0,4798,-14.1,-29.4,26,0.60,210,10,305.6,307.7,305.7
559.0,4824,-14.3,-29.4,27,0.60,220,11,305.6,307.8,305.8
546.0,5001,-15.6,-29.2,30,0.63,225,22,306.2,308.4,306.3
514.0,5453,-19.0,-28.7,42,0.70,195,20,307.4,309.9,307.6
500.0,5660,-20.5,-28.5,49,0.73,210,18,308.0,310.5,308.1
498.0,5690,-20.7,-28.6,49,0.73,210,18,308.0,310.6,308.2
487.0,5855,-22.1,-29.1,53,0.71,202,17,308.4,310.8,308.5
460.0,6271,-25.1,-34.5,41,0.45,180,13,309.7,311.3,309.8
449.0,6447,-26.4,-36.8,37,0.36,210,13,310.2,311.6,310.3
423.0,6882,-29.5,-42.5,27,0.21,220,19,311.6,312.4,311.6
400.0,7280,-32.9,-38.9,55,0.33,230,25,312.1,313.4,312.2
394.0,7386,-33.9,-37.7,68,0.38,233,24,312.2,313.6,312.3
380.0,7637,-35.8,-40.1,64,0.31,240,23,313.0,314.1,313.1
373.0,7766,-36.7,-41.3,62,0.28,241,27,313.4,314.4,313.5
348.0,8242,-39.5,-50.5,30,0.11,246,40,315.9,316.3,315.9
328.0,8643,-42.3,-50.3,41,0.12,249,51,317.4,317.9,317.5
324.0,8726,-42.7,-46.3,68,0.19,250,53,318.0,318.7,318.0
314.0,8936,-43.9,-50.9,46,0.11,252,59,319.2,319.6,319.2
301.0,9218,-46.1,-51.3,56,0.11,255,67,319.9,320.4,319.9
300.0,9240,-46.3,-51.3,57,0.11,255,68,320.0,320.4,320.0
299.0,9262,-46.5,-51.2,59,0.12,255,68,320.0,320.5,320.0
293.0,9397,-47.5,-56.5,35,0.06,255,70,320.4,320.7,320.5
285.0,9581,-47.9,-61.9,18,0.03,255,73,322.4,322.6,322.4
282.0,9651,-48.1,-56.1,39,0.07,255,74,323.1,323.4,323.1
275.0,9817,-49.1,-64.1,16,0.03,255,77,324.0,324.1,324.0
256.0,10286,-51.7,-61.7,29,0.04,255,85,326.9,327.0,326.9
250.0,10440,-53.1,-60.1,42,0.05,255,87,327.0,327.2,327.0
