PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1006.0,10,16.0,12.9,82,9.37,150,12,288.7,315.1,290.3
1004.0,25,16.4,12.8,79,9.33,180,17,289.2,315.6,290.8
1000.0,54,17.2,12.6,74,9.24,175,24,290.4,316.7,292.0
991.0,131,17.6,12.6,72,9.33,178,30,291.5,318.2,293.1
987.0,166,17.4,12.2,72,9.15,180,32,291.6,317.8,293.2
935.0,626,14.2,7.5,64,7.02,190,32,292.9,313.4,294.2
925.0,717,13.6,6.6,63,6.65,190,32,293.2,312.6,294.4
879.0,1143,10.6,1.8,54,4.97,180,23,294.4,309.2,295.3
850.0,1423,8.6,-1.4,49,4.08,185,24,295.1,307.4,295.9
821.0,1709,6.3,-3.6,49,3.57,185,24,295.7,306.6,296.4
814.0,1779,5.8,-4.2,49,3.46,190,23,295.8,306.4,296.5
793.0,1991,4.0,-3.6,58,3.71,205,20,296.1,307.4,296.8
768.0,2252,1.8,-2.9,71,4.04,213,23,296.5,308.7,297.2
761.0,2326,1.6,-6.2,56,3.18,215,24,297.1,306.8,297.6
747.0,2475,1.2,-12.8,34,1.92,214,25,298.2,304.3,298.5
742.0,2529,0.8,-11.2,40,2.20,213,25,298.3,305.3,298.7
739.0,2562,1.0,-23.0,15,0.82,213,25,298.9,301.6,299.0
700.0,2995,-1.5,-27.5,12,0.57,210,28,300.8,302.8,300.9
685.0,3166,-2.6,-26.6,14,0.64,210,27,301.4,303.6,301.5
640.0,3701,-6.1,-23.9,23,0.87,240,30,303.3,306.3,303.5
621.0,3939,-7.7,-22.7,29,1.00,231,34,304.2,307.5,304.3
610.0,4078,-8.3,-27.0,21,0.69,225,37,305.0,307.4,305.1
597.0,4245,-9.1,-32.1,14,0.44,218,36,306.0,307.5,306.1
583.0,4425,-10.6,-34.4,12,0.36,210,35,306.4,307.7,306.4
559.0,4745,-13.1,-38.3,10,0.25,225,34,307.0,307.9,307.1
527.0,5194,-16.8,-43.9,8,0.15,215,30,307.9,308.4,307.9
514.0,5384,-18.3,-46.3,7,0.12,215,30,308.2,308.7,308.2
500.0,5590,-19.9,-46.9,7,0.11,215,31,308.7,309.1,308.7
441.0,6496,-27.7,-49.0,11,0.10,225,27,310.2,310.6,310.2
417.0,6900,-31.1,-50.0,14,0.10,210,23,310.7,311.1,310.8
402.0,7164,-33.4,-50.6,16,0.09,200,25,311.1,311.4,311.1
400.0,7200,-33.7,-50.7,16,0.09,205,25,311.1,311.5,311.1
372.0,7703,-38.2,-53.7,18,0.07,230,25,311.7,311.9,311.7
363.0,7872,-39.7,-54.7,19,0.06,226,25,311.8,312.1,311.9
