PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1016.0,32,20.0,12.0,60,8.74,140,12,291.8,316.9,293.4
1014.0,49,18.4,10.4,60,7.86,148,12,290.4,312.9,291.8
1010.0,83,18.1,10.7,62,8.05,165,11,290.4,313.5,291.9
1000.0,168,17.4,11.4,68,8.53,155,11,290.6,314.9,292.0
989.0,261,16.5,11.1,71,8.46,145,12,290.5,314.7,292.0
959.0,521,13.9,10.3,79,8.25,150,13,290.5,314.0,291.9
936.0,726,11.8,9.6,86,8.09,135,14,290.4,313.5,291.8
925.0,826,10.8,9.3,90,8.01,150,10,290.4,313.2,291.8
922.0,853,10.6,9.3,92,8.03,152,10,290.4,313.4,291.8
918.0,889,10.4,8.9,91,7.84,155,10,290.5,313.0,291.9
889.0,1155,8.6,5.8,82,6.53,145,10,291.4,310.3,292.6
860.0,1429,6.8,2.5,74,5.37,190,10,292.3,308.1,293.3
850.0,1526,6.2,1.4,71,5.01,195,10,292.6,307.4,293.5
820.0,1819,4.3,-2.8,60,3.81,195,10,293.6,305.1,294.3
808.0,1939,3.5,-4.5,56,3.40,220,11,294.0,304.3,294.6
798.0,2040,2.8,-6.0,52,3.08,180,12,294.3,303.7,294.9
795.0,2071,2.6,-6.4,52,2.99,178,12,294.4,303.6,295.0
780.0,2225,1.4,-7.2,53,2.88,170,11,294.7,303.5,295.2
766.0,2370,0.2,-7.9,54,2.77,190,12,295.0,303.5,295.5
762.0,2412,-0.1,-8.1,55,2.74,185,12,295.1,303.5,295.6
753.0,2507,-0.3,-9.5,50,2.48,175,11,295.9,303.6,296.3
727.0,2788,-1.0,-13.6,38,1.85,205,11,298.1,304.0,298.4
714.0,2932,-1.4,-15.7,33,1.58,185,14,299.2,304.4,299.5
703.0,3056,-1.7,-17.5,29,1.38,215,11,300.2,304.8,300.5
702.0,3067,-1.7,-17.7,28,1.36,213,11,300.3,304.8,300.6
700.0,3090,-1.9,-17.9,28,1.34,210,11,300.4,304.8,300.6
683.0,3285,-2.9,-29.9,10,0.47,200,12,301.4,303.0,301.4
675.0,3377,-3.5,-29.2,12,0.51,195,12,301.7,303.5,301.8
640.0,3794,-6.1,-26.3,18,0.70,205,17,303.4,305.8,303.5
610.0,4170,-8.4,-23.7,28,0.93,245,14,304.9,308.0,305.0
598.0,4326,-9.4,-22.6,33,1.05,240,14,305.5,309.0,305.7
597.0,4339,-9.5,-22.5,34,1.06,241,14,305.5,309.1,305.7
581.0,4545,-11.3,-22.6,39,1.08,260,15,305.8,309.5,306.0
549.0,4977,-15.0,-22.8,51,1.12,250,17,306.4,310.2,306.6
537.0,5145,-16.4,-22.8,58,1.14,230,16,306.6,310.5,306.9
525.0,5317,-17.9,-22.9,65,1.16,240,19,306.9,310.8,307.1
