PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1020.0,10,16.0,13.1,83,9.37,0,0,287.5,313.8,289.1
1001.0,164,15.6,11.6,77,8.63,130,10,288.7,313.1,290.2
1000.0,172,15.6,11.5,77,8.59,130,10,288.8,313.1,290.2
964.0,482,14.0,9.8,76,7.95,143,14,290.2,312.9,291.6
957.0,544,13.5,9.5,77,7.82,145,15,290.2,312.6,291.6
933.0,757,11.6,8.3,80,7.41,105,16,290.5,311.8,291.8
925.0,829,11.0,7.9,81,7.27,110,16,290.6,311.5,291.8
903.0,1028,9.5,6.7,83,6.86,125,18,291.0,310.8,292.2
880.0,1242,7.8,5.4,85,6.44,105,16,291.4,310.1,292.6
850.0,1529,5.6,3.7,88,5.90,130,14,292.0,309.2,293.0
849.0,1539,5.4,3.7,89,5.91,131,14,291.9,309.1,292.9
846.0,1568,5.8,5.1,95,6.55,132,14,292.6,311.7,293.8
833.0,1694,5.2,4.2,93,6.25,140,15,293.3,311.6,294.4
817.0,1851,4.5,3.1,91,5.89,120,13,294.1,311.5,295.2
777.0,2259,2.6,0.3,84,5.04,155,11,296.4,311.5,297.3
760.0,2439,1.8,-1.0,82,4.70,131,11,297.4,311.6,298.2
746.0,2588,0.7,-1.8,83,4.53,110,11,297.8,311.5,298.6
727.0,2794,-0.7,-2.8,86,4.29,115,5,298.4,311.4,299.2
700.0,3097,-2.9,-4.4,89,3.96,140,6,299.2,311.4,300.0
685.0,3268,-4.0,-5.2,91,3.79,155,10,299.8,311.5,300.5
679.0,3338,-4.5,-5.6,92,3.73,149,10,300.1,311.6,300.8
648.0,3703,-6.6,-7.8,91,3.30,115,10,301.8,312.1,302.4
612.0,4150,-9.1,-10.5,90,2.82,143,10,303.8,312.8,304.3
604.0,4252,-9.5,-11.5,85,2.64,150,10,304.6,313.0,305.0
569.0,4712,-11.1,-16.1,67,1.92,120,10,307.9,314.2,308.2
505.0,5615,-18.5,-21.3,79,1.39,135,11,309.5,314.2,309.8
502.0,5660,-18.9,-21.6,79,1.36,141,10,309.6,314.2,309.8
500.0,5690,-18.9,-21.9,77,1.33,145,10,309.9,314.5,310.2
464.0,6239,-23.0,-27.1,69,0.90,165,10,311.5,314.7,311.7
448.0,6497,-24.9,-29.6,65,0.74,151,10,312.3,314.9,312.4
442.0,6595,-25.6,-32.6,52,0.56,145,10,312.6,314.6,312.7
433.0,6744,-26.6,-37.1,37,0.37,165,10,313.1,314.5,313.2
429.0,6811,-27.1,-39.1,31,0.30,165,10,313.4,314.5,313.4
425.0,6878,-27.7,-37.7,38,0.35,165,11,313.4,314.7,313.5
407.0,7186,-30.4,-39.7,40,0.30,165,13,313.8,314.9,313.9
400.0,7310,-31.5,-40.5,41,0.28,140,12,314.0,315.0,314.0
399.0,7328,-31.6,-40.4,42,0.28,135,11,314.0,315.1,314.1
391.0,7471,-32.9,-39.9,50,0.31,132,10,314.2,315.3,314.2
