PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1002.0,32,15.6,12.7,83,9.29,110,17,288.6,314.8,290.2
1000.0,50,16.2,12.6,79,9.24,120,17,289.4,315.6,291.0
997.0,76,16.4,12.3,77,9.09,140,18,289.8,315.6,291.4
964.0,362,15.6,10.6,72,8.39,132,35,291.8,315.9,293.3
956.0,432,15.0,10.4,74,8.36,130,39,291.9,315.9,293.3
925.0,711,12.6,9.7,83,8.23,135,45,292.2,315.9,293.6
910.0,847,11.6,8.6,82,7.77,140,46,292.5,314.9,293.9
850.0,1414,7.2,4.1,81,6.07,150,40,293.7,311.5,294.8
789.0,2022,2.6,2.2,97,5.72,164,41,295.1,312.0,296.1
763.0,2293,1.0,0.8,99,5.34,170,41,296.1,312.1,297.1
754.0,2388,0.4,0.3,99,5.21,171,42,296.5,312.1,297.5
