PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
990.0,103,8.0,5.1,82,5.59,0,0,282.0,297.6,282.9
933.0,590,6.2,-0.8,61,3.88,4,4,284.9,296.2,285.6
925.0,660,5.4,-1.6,61,3.69,5,5,284.8,295.5,285.5
850.0,1344,-0.7,-2.8,86,3.68,350,9,285.4,296.1,286.0
814.0,1688,-3.7,-4.1,97,3.48,42,6,285.8,295.9,286.4
763.0,2196,-6.8,-10.4,76,2.29,120,1,287.7,294.6,288.1
762.0,2206,-6.9,-10.5,76,2.27,122,1,287.8,294.6,288.1
730.0,2539,-10.3,-11.7,89,2.15,171,11,287.6,294.1,287.9
707.0,2785,-11.5,-16.5,66,1.50,208,19,288.9,293.5,289.2
704.0,2817,-11.9,-16.9,66,1.45,213,20,288.8,293.3,289.1
700.0,2861,-11.3,-20.3,47,1.09,220,21,289.9,293.4,290.1
697.0,2894,-11.1,-22.4,39,0.91,220,22,290.5,293.4,290.7
691.0,2960,-10.7,-26.7,26,0.63,210,20,291.7,293.8,291.8
680.0,3083,-11.2,-29.5,20,0.49,190,16,292.4,294.1,292.5
656.0,3357,-12.4,-35.9,12,0.27,195,13,294.1,295.1,294.2
645.0,3487,-13.0,-38.9,9,0.21,175,11,294.9,295.6,294.9
627.0,3703,-13.9,-43.9,6,0.12,185,20,296.2,296.7,296.3
601.0,4019,-16.3,-40.7,10,0.18,200,33,297.1,297.8,297.1
547.0,4723,-21.5,-33.5,33,0.42,190,27,299.0,300.5,299.1
543.0,4778,-21.9,-32.9,36,0.44,192,27,299.1,300.7,299.2
503.0,5336,-25.6,-42.2,20,0.19,210,29,301.2,301.9,301.3
500.0,5380,-25.9,-42.9,19,0.17,210,28,301.4,302.0,301.4
469.0,5839,-29.3,-49.3,13,0.09,196,32,302.7,303.1,302.8
445.0,6207,-32.6,-47.9,20,0.11,185,36,303.2,303.6,303.2
410.0,6781,-37.7,-45.7,43,0.16,185,39,303.8,304.4,303.8
400.0,6950,-38.9,-50.9,27,0.09,185,40,304.4,304.7,304.4
373.0,7426,-43.3,-52.3,36,0.08,187,45,304.7,305.0,304.7
351.0,7833,-46.9,-50.9,63,0.10,189,50,305.1,305.5,305.2
348.0,7890,-46.7,-53.7,45,0.07,190,50,306.2,306.4,306.2
345.0,7948,-46.8,-55.2,37,0.06,190,51,306.8,307.1,306.8
328.0,8284,-47.3,-64.3,12,0.02,206,38,310.6,310.6,310.6
324.0,8364,-47.9,-65.0,12,0.02,210,35,310.9,310.9,310.9
304.0,8784,-50.9,-68.9,10,0.01,201,20,312.3,312.4,312.3
302.0,8827,-50.9,-69.4,9,0.01,200,18,312.9,312.9,312.9
300.0,8870,-50.9,-69.9,9,0.01,205,19,313.5,313.5,313.5
297.0,8936,-49.3,-70.3,7,0.01,220,21,316.7,316.7,316.7
294.0,9001,-49.7,-70.7,7,0.01,235,22,317.0,317.1,317.0
