PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1010.0,32,12.6,10.1,85,7.74,10,8,284.9,306.6,286.3
1004.0,85,13.3,9.6,78,7.53,10,18,286.1,307.4,287.4
1000.0,120,13.8,9.3,74,7.40,20,18,286.9,307.9,288.2
991.0,197,16.6,8.6,59,7.12,20,10,290.5,311.0,291.8
982.0,274,16.6,7.6,55,6.71,32,7,291.3,310.7,292.4
961.0,457,14.9,7.4,61,6.75,60,1,291.4,310.9,292.6
925.0,780,12.0,7.0,71,6.84,90,7,291.6,311.4,292.8
895.0,1054,10.0,5.7,75,6.44,150,10,292.2,311.0,293.4
850.0,1483,6.8,3.6,80,5.86,130,15,293.3,310.5,294.3
847.0,1512,6.6,3.5,81,5.84,129,14,293.3,310.5,294.4
828.0,1698,5.4,-0.6,65,4.44,120,10,294.0,307.2,294.8
827.0,1708,5.3,-0.6,66,4.45,120,10,294.0,307.3,294.8
812.0,1856,4.0,-0.5,72,4.55,80,10,294.2,307.7,295.0
794.0,2038,2.4,-0.5,81,4.68,90,21,294.4,308.3,295.2
778.0,2203,1.0,-0.4,90,4.80,82,16,294.5,308.8,295.4
774.0,2245,1.2,-2.3,78,4.20,80,15,295.2,307.8,295.9
769.0,2297,1.4,-4.6,64,3.55,87,13,295.9,306.8,296.6
764.0,2349,1.7,-10.1,41,2.33,95,11,296.9,304.2,297.3
763.0,2360,1.8,-11.2,37,2.14,94,11,297.0,303.8,297.4
746.0,2540,0.9,-12.8,35,1.92,70,17,298.0,304.1,298.4
729.0,2725,0.1,-14.5,32,1.71,75,21,299.0,304.5,299.3
700.0,3050,-1.5,-17.5,28,1.39,85,13,300.8,305.3,301.1
684.0,3232,-2.6,-19.4,26,1.21,80,12,301.6,305.6,301.8
675.0,3336,-3.2,-20.4,25,1.12,115,9,302.0,305.7,302.2
666.0,3442,-3.9,-21.5,24,1.03,105,10,302.4,305.9,302.6
661.0,3501,-4.2,-22.1,23,0.99,95,11,302.7,306.0,302.9
652.0,3609,-4.9,-23.2,22,0.91,125,12,303.1,306.2,303.3
632.0,3854,-6.4,-25.8,20,0.75,125,23,304.1,306.7,304.3
620.0,4005,-7.3,-27.3,19,0.66,102,18,304.8,307.1,304.9
619.0,4017,-7.4,-27.5,18,0.65,100,18,304.8,307.1,304.9
588.0,4412,-10.6,-33.5,13,0.39,95,24,305.6,307.0,305.7
577.0,4557,-11.7,-35.8,12,0.32,105,20,305.9,307.1,306.0
557.0,4828,-13.9,-39.9,9,0.21,88,20,306.4,307.2,306.5
547.0,4965,-14.7,-40.2,9,0.21,80,20,307.1,307.9,307.1
531.0,5188,-16.0,-40.7,10,0.21,105,29,308.1,308.9,308.1
511.0,5476,-17.7,-41.3,11,0.20,90,30,309.4,310.2,309.5
500.0,5640,-18.7,-41.7,11,0.20,100,31,310.2,310.9,310.2
490.0,5787,-19.9,-42.0,12,0.20,100,36,310.5,311.2,310.6
452.0,6376,-24.7,-43.3,16,0.18,80,24,311.8,312.5,311.8
415.0,6998,-29.7,-44.7,22,0.17,101,34,313.0,313.7,313.0
400.0,7260,-31.3,-48.3,17,0.12,110,39,314.2,314.7,314.2
397.0,7313,-31.6,-48.7,17,0.12,110,37,314.5,315.0,314.5
393.0,7384,-32.0,-49.3,16,0.11,125,34,314.9,315.3,314.9
390.0,7438,-32.4,-49.7,16,0.11,135,39,315.1,315.6,315.2
372.0,7771,-34.3,-52.3,14,0.08,125,50,316.8,317.2,316.9
365.0,7904,-35.1,-49.1,23,0.12,121,55,317.5,318.0,317.5
354.0,8113,-36.8,-48.8,28,0.13,115,62,318.0,318.5,318.0
331.0,8573,-40.6,-48.0,45,0.15,120,80,319.0,319.6,319.0
312.0,8978,-43.9,-47.4,68,0.17,120,82,319.8,320.4,319.8
300.0,9240,-46.3,-49.9,67,0.13,120,83,320.0,320.5,320.0
285.0,9573,-49.5,-53.0,67,0.10,125,85,320.1,320.5,320.1
260.0,10170,-55.3,-58.6,67,0.05,120,81,320.1,320.3,320.1
250.0,10420,-55.7,-60.7,53,0.04,125,70,323.1,323.3,323.1
248.0,10471,-56.1,-61.1,53,0.04,125,66,323.3,323.4,323.3
242.0,10629,-55.6,-64.6,31,0.03,125,44,326.3,326.4,326.3
233.0,10872,-54.8,-70.1,13,0.01,90,30,331.1,331.1,331.1
232.0,10900,-54.7,-70.7,12,0.01,85,30,331.6,331.7,331.6
230.0,10956,-54.6,-71.2,11,0.01,75,31,332.6,332.7,332.6
217.0,11332,-53.8,-74.8,6,0.01,75,39,339.4,339.4,339.4
202.0,11796,-52.8,-79.1,3,0.00,80,26,347.9,348.0,347.9
200.0,11860,-52.7,-79.7,2,0.00,75,27,349.1,349.2,349.1
195.0,12024,-51.3,-79.3,2,0.00,64,26,353.9,353.9,353.9
184.0,12395,-52.7,-80.0,2,0.00,40,25,357.5,357.6,357.6
174.0,12752,-54.1,-80.8,2,0.00,55,26,361.1,361.1,361.1
166.0,13052,-55.2,-81.4,3,0.00,30,18,364.0,364.0,364.0
150.0,13700,-57.7,-82.7,3,0.00,50,19,370.5,370.5,370.5
147.0,13827,-58.5,-83.5,3,0.00,50,21,371.2,371.2,371.2
144.0,13957,-58.1,-83.3,3,0.00,50,17,374.0,374.1,374.0
141.0,14090,-57.8,-83.1,3,0.00,45,20,376.9,377.0,376.9
137.0,14271,-57.3,-82.9,3,0.00,60,23,380.9,380.9,380.9
131.0,14554,-56.5,-82.5,2,0.00,77,16,387.2,387.2,387.2
130.0,14602,-56.6,-82.6,2,0.00,80,15,387.9,387.9,387.9
128.0,14699,-56.8,-82.7,2,0.00,70,10,389.2,389.2,389.2
125.0,14848,-57.2,-83.0,2,0.00,25,4,391.2,391.3,391.3
121.0,15053,-57.6,-83.3,2,0.00,335,10,394.1,394.1,394.1
118.0,15210,-58.0,-83.6,2,0.00,335,17,396.3,396.3,396.3
110.0,15651,-59.0,-84.3,2,0.00,25,11,402.4,402.4,402.4
100.0,16250,-60.3,-85.3,2,0.00,35,2,410.9,411.0,410.9
94.3,16617,-58.9,-84.9,2,0.00,328,6,420.6,420.7,420.6
90.0,16906,-59.8,-85.5,2,0.00,275,10,424.5,424.5,424.5
85.0,17260,-60.9,-86.2,2,0.00,325,16,429.2,429.2,429.2
83.0,17407,-61.4,-86.5,2,0.00,350,10,431.2,431.2,431.2
78.0,17792,-62.6,-87.2,2,0.00,85,1,436.3,436.4,436.4
72.4,18253,-64.1,-88.1,2,0.00,216,8,442.6,442.6,442.6
71.0,18373,-63.2,-87.8,2,0.00,250,10,447.1,447.1,447.1
70.0,18460,-62.5,-87.5,2,0.00,275,9,450.3,450.4,450.3
67.5,18685,-60.9,-86.9,2,0.00,260,9,458.5,458.5,458.5
