PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1010.0,32,18.4,12.4,68,9.03,40,4,290.7,316.5,292.3
1000.0,118,16.6,10.6,68,8.08,40,7,289.8,312.8,291.2
999.0,127,16.6,10.6,68,8.09,38,7,289.8,312.9,291.2
979.0,299,18.0,6.0,45,6.02,360,8,292.9,310.6,294.0
951.0,546,16.3,5.3,48,5.90,305,10,293.6,310.9,294.6
925.0,782,14.6,4.6,51,5.78,265,7,294.2,311.3,295.3
916.0,864,13.9,4.3,52,5.71,270,10,294.4,311.3,295.4
905.0,965,13.2,3.9,54,5.63,290,11,294.6,311.2,295.6
876.0,1238,11.0,2.9,57,5.42,265,10,295.1,311.2,296.1
864.0,1353,10.1,2.5,59,5.33,285,16,295.3,311.2,296.3
853.0,1461,9.2,2.1,61,5.25,300,15,295.5,311.1,296.4
850.0,1490,9.0,2.0,62,5.23,305,14,295.6,311.1,296.5
841.0,1576,8.4,1.6,63,5.15,305,10,295.8,311.1,296.7
790.0,2083,4.6,-0.5,69,4.68,260,10,297.1,311.2,297.9
750.0,2505,1.5,-2.3,76,4.32,0,0,298.1,311.3,298.9
729.0,2735,-0.2,-3.3,80,4.13,355,10,298.7,311.3,299.4
722.0,2813,-0.8,-3.6,81,4.07,340,13,298.9,311.3,299.6
715.0,2892,-1.4,-4.0,83,4.01,320,10,299.1,311.3,299.8
700.0,3064,-2.7,-4.7,86,3.87,315,4,299.5,311.4,300.2
670.0,3408,-5.4,-7.1,88,3.37,0,0,300.2,310.7,300.8
627.0,3928,-9.5,-10.7,91,2.71,11,2,301.3,309.8,301.8
618.0,4041,-7.1,-15.1,53,1.92,14,2,305.3,311.6,305.6
554.0,4884,-13.7,-20.7,56,1.34,32,5,307.1,311.6,307.4
538.0,5107,-14.9,-19.8,66,1.49,37,6,308.3,313.3,308.6
521.0,5350,-15.5,-27.5,35,0.77,43,7,310.4,313.1,310.6
519.0,5379,-15.3,-30.3,27,0.60,44,7,311.0,313.1,311.1
500.0,5660,-17.9,-27.9,41,0.78,50,8,311.1,313.9,311.3
488.0,5841,-19.5,-26.8,52,0.88,45,10,311.3,314.4,311.5
478.0,5995,-20.9,-25.9,64,0.97,34,12,311.5,314.9,311.7
475.0,6041,-21.2,-26.4,63,0.94,30,12,311.6,314.9,311.8
456.0,6338,-23.4,-29.2,59,0.75,55,10,312.5,315.2,312.7
445.0,6515,-24.8,-31.0,56,0.65,30,10,313.1,315.4,313.2
437.0,6647,-25.7,-32.2,54,0.59,345,12,313.4,315.6,313.6
425.0,6849,-27.2,-34.2,52,0.50,340,11,314.0,315.9,314.1
418.0,6970,-28.1,-35.4,50,0.45,310,13,314.4,316.0,314.5
411.0,7093,-29.0,-36.6,48,0.41,320,10,314.7,316.2,314.8
400.0,7290,-30.5,-38.5,45,0.35,305,14,315.3,316.6,315.3
397.0,7343,-30.7,-40.2,39,0.29,305,16,315.6,316.7,315.7
390.0,7469,-31.3,-44.3,27,0.19,298,14,316.5,317.2,316.6
