PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1005.0,10,13.0,10.1,83,7.78,210,6,285.7,307.6,287.1
1000.0,45,14.2,10.3,77,7.92,210,13,287.4,309.7,288.7
995.0,87,15.2,10.2,72,7.91,215,17,288.8,311.2,290.1
985.0,173,14.9,9.2,69,7.48,225,26,289.3,310.7,290.6
945.0,524,13.9,5.2,56,5.90,220,30,291.7,308.9,292.8
941.0,560,13.8,4.8,55,5.76,218,29,292.0,308.8,293.0
925.0,704,12.6,4.6,58,5.78,210,26,292.2,309.1,293.2
903.0,904,10.8,3.7,61,5.56,200,25,292.4,308.7,293.4
850.0,1406,6.4,1.5,71,5.04,210,26,292.8,307.7,293.7
829.0,1609,4.8,0.7,75,4.88,220,25,293.2,307.7,294.1
764.0,2271,-0.5,-1.9,90,4.38,225,26,294.4,307.5,295.2
714.0,2810,-2.5,-6.8,72,3.23,229,28,298.0,308.0,298.6
700.0,2967,-3.7,-7.8,73,3.05,230,28,298.4,307.8,298.9
661.0,3416,-6.9,-10.2,77,2.67,225,22,299.7,308.1,300.1
638.0,3693,-8.9,-11.7,80,2.46,232,23,300.5,308.2,300.9
628.0,3815,-9.4,-14.4,67,2.01,235,24,301.2,307.7,301.6
606.0,4091,-10.5,-20.5,44,1.24,217,27,303.1,307.2,303.3
604.0,4116,-10.7,-20.6,44,1.24,215,27,303.1,307.2,303.4
519.0,5264,-19.7,-23.8,70,1.08,236,32,305.7,309.4,305.9
505.0,5466,-20.6,-29.0,47,0.69,240,33,307.0,309.4,307.1
500.0,5540,-20.9,-30.9,40,0.58,240,33,307.5,309.6,307.6
499.0,5555,-20.9,-30.9,40,0.59,240,33,307.7,309.7,307.8
441.0,6451,-28.3,-48.3,13,0.11,240,32,309.4,309.8,309.4
400.0,7140,-34.1,-49.1,20,0.11,240,32,310.6,311.0,310.6
