PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1011.0,103,12.6,6.6,67,6.08,170,3,284.9,302.0,285.9
1000.0,193,10.6,4.6,66,5.34,160,6,283.8,298.9,284.7
998.0,210,10.2,4.2,66,5.21,162,6,283.5,298.2,284.4
954.0,583,6.8,2.9,76,4.97,217,3,283.7,297.8,284.6
925.0,836,5.6,2.1,78,4.84,255,1,285.0,298.9,285.9
899.0,1068,4.4,1.3,80,4.68,300,10,286.1,299.6,286.9
896.0,1095,4.2,1.2,80,4.67,310,11,286.2,299.7,287.0
890.0,1149,4.0,1.0,81,4.63,325,10,286.5,299.8,287.3
850.0,1523,2.0,-0.4,84,4.39,45,2,288.2,301.0,289.0
849.0,1533,2.0,-0.5,84,4.36,44,2,288.3,301.0,289.1
806.0,1949,-1.6,-2.2,95,4.05,0,0,288.9,300.7,289.6
802.0,1989,-1.9,-2.4,96,4.02,7,0,288.9,300.7,289.6
789.0,2120,0.0,-4.8,70,3.41,30,2,292.3,302.5,292.9
785.0,2161,-0.3,-5.2,70,3.32,38,2,292.4,302.4,293.0
759.0,2431,1.4,-9.6,44,2.44,86,5,297.1,304.7,297.5
733.0,2712,1.0,-13.0,34,1.93,135,8,299.6,305.8,299.9
718.0,2877,-0.2,-12.9,38,1.99,165,10,300.0,306.4,300.4
700.0,3080,-1.7,-12.7,43,2.07,160,10,300.6,307.2,300.9
685.0,3250,-2.9,-14.5,40,1.82,150,15,301.1,307.0,301.5
651.0,3651,-5.6,-18.8,35,1.34,135,14,302.5,306.9,302.7
634.0,3859,-7.0,-21.0,32,1.14,155,13,303.2,307.0,303.4
614.0,4111,-8.7,-23.7,29,0.93,145,14,304.0,307.1,304.2
603.0,4250,-9.8,-22.6,35,1.04,140,14,304.2,307.8,304.4
573.0,4642,-13.1,-19.5,58,1.43,150,14,304.9,309.7,305.2
571.0,4669,-13.3,-19.3,61,1.46,149,14,305.0,309.8,305.2
560.0,4817,-13.9,-28.9,27,0.63,141,15,306.0,308.2,306.1
536.0,5148,-15.9,-32.6,22,0.46,125,18,307.5,309.1,307.6
519.0,5392,-17.3,-35.3,19,0.37,132,18,308.6,309.9,308.6
500.0,5670,-19.9,-35.9,23,0.36,140,17,308.7,310.0,308.8
