PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1012.0,103,9.6,8.5,93,6.92,10,2,281.8,301.0,283.0
1002.0,189,11.8,6.8,71,6.22,35,5,284.8,302.3,285.9
1000.0,206,11.8,6.8,71,6.23,40,6,284.9,302.6,286.0
925.0,853,6.4,2.4,76,4.94,110,13,285.9,300.0,286.7
921.0,889,6.1,2.3,76,4.91,120,14,285.9,300.0,286.8
914.0,951,5.6,2.0,78,4.86,112,15,286.0,299.9,286.9
908.0,1005,5.3,1.9,79,4.86,105,16,286.3,300.2,287.1
880.0,1260,4.0,1.4,83,4.84,110,20,287.5,301.5,288.3
858.0,1466,3.0,1.0,87,4.83,85,15,288.5,302.5,289.3
850.0,1542,2.6,0.9,89,4.83,65,13,288.9,302.9,289.7
843.0,1609,2.2,0.7,90,4.80,50,12,289.1,303.1,289.9
834.0,1695,1.6,0.5,92,4.77,45,10,289.4,303.3,290.2
813.0,1901,0.3,-0.1,97,4.68,50,13,290.1,303.8,290.9
804.0,1990,-0.3,-0.4,99,4.64,72,15,290.4,304.0,291.2
793.0,2101,0.5,-3.7,74,3.69,100,17,292.4,303.4,293.0
788.0,2152,0.8,-5.2,64,3.31,99,17,293.2,303.2,293.8
757.0,2475,1.6,-8.4,47,2.69,93,17,297.5,305.9,298.0
744.0,2614,0.8,-8.2,51,2.79,90,17,298.1,306.8,298.6
720.0,2877,-0.7,-7.7,59,2.99,101,18,299.3,308.6,299.8
700.0,3102,-1.3,-11.3,47,2.31,110,18,301.0,308.4,301.4
667.0,3484,-3.8,-17.0,35,1.52,125,18,302.4,307.4,302.7
650.0,3689,-5.1,-20.1,30,1.20,117,17,303.2,307.1,303.4
624.0,4002,-7.1,-23.2,26,0.95,105,16,304.4,307.6,304.6
602.0,4277,-8.9,-25.9,24,0.77,130,20,305.5,308.1,305.6
541.0,5096,-14.2,-34.1,17,0.40,130,23,308.6,310.1,308.7
515.0,5473,-16.6,-37.9,14,0.29,105,25,310.1,311.1,310.1
500.0,5700,-18.1,-40.1,13,0.23,115,24,310.9,311.8,310.9
485.0,5927,-19.3,-42.3,11,0.19,109,26,312.1,312.9,312.2
462.0,6286,-22.1,-47.3,8,0.12,100,28,313.0,313.5,313.1
