PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
999.0,103,10.8,9.5,92,7.51,0,0,284.0,305.0,285.3
947.0,545,8.3,7.7,96,7.00,40,10,285.9,305.6,287.1
925.0,739,7.2,6.9,98,6.79,55,5,286.7,305.9,287.8
895.0,1009,5.6,5.3,98,6.26,0,0,287.7,305.6,288.8
850.0,1431,3.0,2.7,98,5.50,195,7,289.3,305.2,290.2
790.0,2021,-0.7,-1.0,98,4.52,186,8,291.4,304.8,292.2
700.0,2977,-6.7,-7.6,93,3.10,170,10,295.0,304.5,295.6
699.0,2988,-6.8,-7.7,93,3.08,170,10,295.1,304.5,295.6
692.0,3067,-7.1,-8.5,90,2.92,150,12,295.6,304.5,296.1
669.0,3330,-8.3,-11.2,80,2.44,174,13,297.1,304.7,297.5
663.0,3399,-8.8,-11.7,80,2.37,180,13,297.3,304.7,297.7
654.0,3503,-9.6,-12.3,80,2.28,150,12,297.6,304.7,298.0
643.0,3633,-10.5,-13.2,81,2.16,170,12,297.9,304.8,298.4
626.0,3838,-12.0,-14.6,81,1.99,160,10,298.5,304.8,298.9
586.0,4344,-15.7,-17.9,83,1.61,171,11,299.9,305.1,300.2
558.0,4710,-18.3,-25.4,54,0.87,180,12,301.0,304.0,301.2
543.0,4914,-19.8,-29.6,41,0.61,160,13,301.6,303.7,301.8
542.0,4928,-19.9,-29.9,41,0.59,161,13,301.7,303.7,301.8
527.0,5135,-21.8,-26.5,66,0.84,170,15,301.8,304.6,301.9
525.0,5163,-22.1,-26.0,71,0.88,168,15,301.8,304.8,302.0
513.0,5333,-23.3,-30.3,53,0.60,159,15,302.4,304.4,302.5
508.0,5404,-23.9,-30.9,52,0.58,155,15,302.4,304.4,302.6
500.0,5520,-24.9,-31.9,52,0.53,155,15,302.6,304.5,302.7
481.0,5800,-27.1,-29.3,82,0.71,163,14,303.3,305.7,303.4
463.0,6072,-29.1,-35.5,54,0.40,170,13,304.1,305.5,304.1
457.0,6165,-29.8,-37.6,47,0.33,195,14,304.3,305.5,304.4
