PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1001.0,32,15.2,11.1,77,8.35,130,4,288.3,311.9,289.7
1000.0,44,15.0,10.0,72,7.76,235,7,288.1,310.2,289.5
996.0,78,14.7,9.8,73,7.71,250,10,288.2,310.1,289.5
957.0,413,11.7,8.3,80,7.23,255,19,288.5,309.1,289.7
925.0,699,9.2,7.0,86,6.84,250,17,288.7,308.2,289.9
899.0,934,7.2,6.1,92,6.60,245,13,289.0,307.9,290.2
886.0,1055,6.2,5.6,96,6.48,254,12,289.2,307.8,290.3
884.0,1073,6.1,5.5,96,6.45,255,12,289.2,307.8,290.4
874.0,1166,5.5,5.0,97,6.31,235,12,289.6,307.8,290.7
859.0,1308,4.7,4.3,97,6.11,250,13,290.2,307.8,291.3
850.0,1394,4.2,3.9,98,5.99,225,10,290.5,307.9,291.6
846.0,1432,4.0,3.5,97,5.87,215,12,290.7,307.7,291.7
828.0,1606,2.9,1.9,94,5.34,240,10,291.3,306.9,292.3
813.0,1753,2.0,0.6,90,4.93,260,3,291.9,306.4,292.8
771.0,2182,-0.7,-3.4,82,3.88,265,12,293.5,305.1,294.1
764.0,2255,-0.5,-6.5,64,3.09,260,13,294.4,303.9,295.0
760.0,2296,-0.7,-9.7,51,2.42,257,14,294.7,302.2,295.1
751.0,2392,-0.5,-15.5,31,1.53,250,16,295.9,300.8,296.2
745.0,2455,-0.9,-15.3,33,1.56,245,17,296.1,301.1,296.4
730.0,2617,-1.9,-14.9,36,1.65,255,18,296.7,302.0,297.0
718.0,2748,-2.8,-14.6,40,1.73,235,19,297.2,302.7,297.5
700.0,2950,-4.1,-14.1,46,1.84,235,24,297.9,303.8,298.2
695.0,3006,-4.5,-14.3,46,1.82,240,26,298.1,303.9,298.4
668.0,3314,-6.8,-15.7,49,1.69,245,25,298.9,304.3,299.2
655.0,3466,-8.0,-16.4,51,1.63,265,24,299.3,304.5,299.6
621.0,3881,-11.0,-18.3,55,1.46,245,28,300.3,305.1,300.6
614.0,3969,-11.7,-18.7,56,1.43,245,29,300.6,305.2,300.8
577.0,4441,-15.5,-22.5,55,1.10,245,32,301.5,305.1,301.7
575.0,4467,-15.6,-22.8,54,1.07,245,32,301.6,305.2,301.8
568.0,4559,-16.1,-23.9,51,0.99,250,28,302.2,305.5,302.4
548.0,4828,-17.3,-26.9,43,0.77,230,27,303.8,306.4,303.9
533.0,5036,-18.3,-29.3,37,0.64,236,23,305.0,307.3,305.2
532.0,5050,-18.3,-30.3,34,0.58,237,23,305.2,307.2,305.3
513.0,5320,-20.4,-32.4,33,0.49,245,17,305.8,307.6,305.9
