PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
994.0,103,7.6,5.7,88,5.81,100,4,281.2,297.4,282.2
926.0,684,3.5,2.2,92,4.89,100,25,282.8,296.6,283.6
925.0,693,3.4,2.2,92,4.87,105,24,282.8,296.6,283.6
908.0,843,2.2,1.3,94,4.66,115,27,283.1,296.3,283.9
902.0,897,1.8,1.0,94,4.58,118,25,283.2,296.2,284.0
870.0,1187,-0.1,-1.3,91,4.01,135,17,284.1,295.7,284.8
850.0,1374,-1.3,-2.8,90,3.68,170,12,284.8,295.4,285.4
849.0,1383,-1.4,-2.9,89,3.66,170,12,284.8,295.4,285.4
830.0,1563,-2.4,-4.7,84,3.26,140,14,285.6,295.1,286.1
795.0,1904,-4.3,-8.2,74,2.60,147,15,287.1,294.8,287.5
777.0,2083,-5.9,-9.0,79,2.50,150,15,287.2,294.7,287.6
750.0,2360,-8.4,-10.2,87,2.35,165,10,287.4,294.5,287.8
749.0,2370,-8.5,-10.3,87,2.34,167,10,287.4,294.5,287.8
744.0,2422,-8.5,-10.3,87,2.36,175,8,287.9,295.0,288.4
739.0,2475,-8.6,-10.3,88,2.38,190,12,288.4,295.6,288.9
725.0,2623,-8.7,-10.2,89,2.44,194,24,289.9,297.3,290.3
722.0,2655,-8.9,-10.4,89,2.41,195,26,290.0,297.4,290.5
710.0,2784,-9.7,-11.2,89,2.31,195,22,290.6,297.6,291.0
700.0,2894,-10.3,-11.8,89,2.22,185,25,291.1,297.9,291.4
687.0,3035,-11.2,-12.7,89,2.11,170,20,291.6,298.0,291.9
667.0,3258,-12.7,-14.1,89,1.93,195,30,292.4,298.4,292.7
624.0,3761,-16.1,-17.4,90,1.58,180,18,294.2,299.1,294.4
611.0,3919,-17.1,-18.4,90,1.48,195,21,294.7,299.4,295.0
600.0,4056,-18.0,-19.3,90,1.40,180,20,295.2,299.7,295.4
591.0,4170,-18.8,-20.0,90,1.33,195,24,295.6,299.9,295.8
560.0,4576,-21.5,-22.6,91,1.12,204,30,297.0,300.6,297.2
541.0,4829,-23.6,-24.4,93,0.99,210,34,297.4,300.6,297.6
535.0,4911,-24.3,-25.0,94,0.94,212,33,297.5,300.7,297.7
500.0,5400,-28.7,-33.7,62,0.45,225,27,298.0,299.5,298.1
497.0,5443,-29.1,-34.1,62,0.43,228,27,298.0,299.5,298.1
490.0,5543,-29.9,-34.7,63,0.41,235,26,298.2,299.6,298.3
468.0,5869,-32.7,-36.6,68,0.36,230,28,298.7,300.0,298.8
431.0,6441,-38.0,-43.9,54,0.18,220,31,299.1,299.7,299.1
429.0,6474,-38.3,-44.3,53,0.17,222,32,299.1,299.7,299.1
420.0,6619,-39.6,-46.5,48,0.14,230,35,299.3,299.8,299.3
419.0,6635,-39.7,-46.7,47,0.14,230,36,299.3,299.8,299.3
400.0,6950,-42.3,-49.3,46,0.11,220,47,299.9,300.3,299.9
380.0,7290,-45.2,-51.6,49,0.09,215,51,300.5,300.8,300.5
337.0,8084,-52.2,-57.1,55,0.05,220,44,301.5,301.7,301.6
335.0,8124,-52.5,-57.4,55,0.05,219,43,301.6,301.8,301.6
322.0,8379,-53.9,-59.9,48,0.04,210,39,303.1,303.2,303.1
309.0,8647,-49.9,-67.9,10,0.01,201,40,312.3,312.3,312.3
307.0,8689,-49.9,-68.8,9,0.01,200,40,312.8,312.9,312.8
300.0,8840,-49.9,-71.9,6,0.01,200,42,314.9,314.9,314.9
264.0,9681,-48.9,-73.7,4,0.01,210,32,328.1,328.1,328.1
250.0,10040,-48.5,-74.5,3,0.01,225,38,333.8,333.9,333.8
245.0,10174,-47.8,-75.1,3,0.01,225,43,336.8,336.9,336.8
239.0,10338,-46.9,-75.9,2,0.01,224,39,340.6,340.6,340.6
