PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1016.0,10,16.0,12.9,82,9.28,110,8,287.8,314.0,289.4
1015.0,18,17.4,13.8,79,9.86,108,8,289.3,317.2,291.0
1012.0,42,17.8,13.7,77,9.82,103,9,290.0,317.8,291.7
1007.0,82,17.6,12.7,73,9.22,95,11,290.1,316.3,291.7
1000.0,139,17.2,11.2,68,8.42,95,13,290.4,314.4,291.8
995.0,182,17.6,8.6,56,7.09,96,13,291.2,311.6,292.4
925.0,799,12.0,6.0,67,6.38,110,12,291.6,310.1,292.7
863.0,1375,7.1,2.9,75,5.49,135,18,292.3,308.4,293.2
850.0,1501,6.0,2.2,77,5.30,140,17,292.4,308.0,293.4
840.0,1598,5.0,1.8,80,5.22,138,16,292.4,307.7,293.3
825.0,1743,4.3,0.8,78,4.93,135,15,293.1,307.7,294.0
788.0,2112,2.4,-1.8,74,4.27,100,13,294.9,307.7,295.7
772.0,2278,1.5,-3.0,72,4.00,120,13,295.8,307.8,296.5
754.0,2468,0.6,-4.3,70,3.70,90,16,296.7,308.0,297.4
733.0,2695,-0.6,-5.9,67,3.37,120,14,297.8,308.2,298.4
709.0,2963,-2.0,-7.8,64,3.02,130,14,299.2,308.6,299.7
700.0,3066,-2.5,-8.5,63,2.89,120,14,299.7,308.7,300.2
682.0,3271,-3.5,-9.8,62,2.67,120,11,300.8,309.2,301.3
663.0,3494,-4.6,-11.3,60,2.45,95,12,302.0,309.8,302.4
645.0,3711,-5.7,-12.7,58,2.24,109,12,303.1,310.4,303.6
626.0,3944,-7.1,-15.8,50,1.79,125,12,304.1,309.9,304.4
601.0,4262,-9.1,-20.1,41,1.30,125,12,305.4,309.7,305.6
590.0,4404,-10.3,-16.3,61,1.82,125,11,305.6,311.6,306.0
572.0,4640,-11.7,-19.6,52,1.43,125,11,306.7,311.4,306.9
507.0,5556,-17.3,-32.3,26,0.50,138,5,310.6,312.5,310.7
500.0,5660,-18.1,-33.1,26,0.47,140,4,310.9,312.6,311.0
496.0,5720,-18.6,-34.0,25,0.44,150,3,311.0,312.6,311.1
479.0,5978,-20.7,-37.7,20,0.31,158,4,311.5,312.7,311.6
473.0,6071,-21.5,-28.5,53,0.78,160,5,311.7,314.4,311.8
465.0,6196,-22.3,-38.3,22,0.30,164,5,312.2,313.3,312.2
449.0,6451,-24.5,-33.5,43,0.51,171,7,312.6,314.4,312.7
441.0,6581,-25.3,-40.3,23,0.26,175,7,313.2,314.1,313.2
412.0,7070,-29.0,-36.1,50,0.43,190,10,314.6,316.2,314.7
408.0,7140,-29.5,-35.5,56,0.46,188,12,314.8,316.5,314.9
400.0,7280,-30.9,-35.9,61,0.45,185,15,314.8,316.4,314.8
398.0,7316,-31.3,-36.1,63,0.44,185,15,314.7,316.3,314.8
387.0,7513,-32.8,-39.5,51,0.32,185,15,315.2,316.4,315.3
385.0,7550,-33.1,-40.1,49,0.30,190,15,315.3,316.5,315.4
379.0,7660,-34.1,-40.3,53,0.30,205,15,315.4,316.6,315.5
362.0,7980,-36.9,-41.0,66,0.29,188,13,315.8,316.9,315.9
357.0,8076,-37.5,-44.5,48,0.21,183,12,316.3,317.1,316.3
