PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
998.0,103,9.4,8.6,95,7.07,20,3,282.7,302.4,283.9
962.0,405,7.3,6.9,97,6.51,60,10,283.5,301.8,284.7
951.0,500,6.6,6.3,98,6.34,40,10,283.8,301.6,284.9
938.0,613,5.8,5.7,99,6.14,70,10,284.1,301.4,285.2
925.0,728,5.0,5.0,100,5.94,75,13,284.4,301.2,285.4
871.0,1217,2.2,2.1,99,5.14,87,27,286.4,301.2,287.3
859.0,1329,1.8,1.6,99,5.04,90,30,287.1,301.6,288.0
850.0,1414,1.4,1.3,99,4.97,90,28,287.6,301.9,288.5
812.0,1780,0.1,-0.1,99,4.70,110,21,290.0,303.7,290.8
767.0,2237,-1.6,-1.9,98,4.37,95,20,292.9,305.9,293.7
763.0,2279,-1.8,-2.0,98,4.34,110,16,293.2,306.1,294.0
759.0,2321,-1.9,-2.2,98,4.31,127,17,293.5,306.3,294.2
757.0,2342,-2.0,-2.4,98,4.27,135,18,293.6,306.3,294.3
718.0,2760,-4.8,-5.7,93,3.50,160,24,295.0,305.6,295.6
705.0,2904,-5.7,-6.8,92,3.26,150,28,295.5,305.4,296.1
700.0,2960,-6.1,-7.3,91,3.17,155,27,295.7,305.4,296.3
646.0,3575,-9.9,-11.6,88,2.45,170,27,298.2,305.9,298.7
562.0,4643,-16.5,-19.0,81,1.53,165,32,302.6,307.6,302.8
539.0,4963,-18.5,-21.2,79,1.31,184,31,303.8,308.2,304.1
538.0,4977,-18.6,-21.5,78,1.28,185,31,303.9,308.1,304.1
534.0,5033,-19.1,-22.6,74,1.17,185,32,303.9,307.8,304.1
500.0,5520,-22.5,-25.1,79,1.00,185,38,305.6,308.9,305.7
434.0,6538,-31.3,-34.2,76,0.49,185,50,307.0,308.7,307.1
430.0,6605,-31.9,-34.8,75,0.47,187,52,307.0,308.7,307.1
424.0,6704,-32.9,-33.5,94,0.54,189,54,307.0,308.9,307.1
420.0,6770,-33.9,-37.5,70,0.36,191,56,306.6,307.9,306.6
412.0,6905,-34.9,-37.4,78,0.37,195,60,306.9,308.3,307.0
400.0,7110,-36.3,-38.8,78,0.33,200,65,307.7,308.9,307.8
390.0,7286,-37.5,-39.1,85,0.33,196,65,308.4,309.6,308.5
373.0,7592,-40.3,-45.3,59,0.18,190,66,308.6,309.3,308.7
364.0,7759,-41.3,-45.0,67,0.19,187,67,309.5,310.2,309.5
360.0,7833,-41.8,-47.3,55,0.15,185,67,309.8,310.4,309.8
348.0,8063,-43.3,-54.3,29,0.07,188,68,310.8,311.0,310.8
329.0,8439,-46.3,-60.3,19,0.03,192,69,311.7,311.8,311.7
300.0,9050,-49.1,-61.1,23,0.03,200,72,316.0,316.2,316.0
293.0,9204,-49.8,-64.1,17,0.02,205,75,317.2,317.3,317.2
288.0,9316,-50.3,-66.3,13,0.02,205,72,318.0,318.1,318.0
259.0,10001,-52.0,-71.7,8,0.01,205,56,325.4,325.4,325.4
252.0,10179,-52.4,-73.1,6,0.01,195,55,327.3,327.4,327.3
250.0,10230,-52.5,-73.5,6,0.01,195,55,327.9,327.9,327.9
243.0,10414,-53.3,-74.3,6,0.01,185,60,329.4,329.4,329.4
236.0,10603,-54.1,-75.1,6,0.01,190,65,330.9,330.9,330.9
232.0,10715,-53.3,-75.4,5,0.01,200,70,333.8,333.8,333.8
206.0,11495,-47.5,-77.8,2,0.00,230,40,354.4,354.4,354.4
201.0,11657,-46.3,-78.3,1,0.00,226,25,358.8,358.8,358.8
200.0,11690,-46.3,-78.3,1,0.00,225,22,359.3,359.3,359.3
199.0,11723,-46.6,-78.5,1,0.00,220,21,359.4,359.4,359.4
186.0,12166,-50.3,-81.4,1,0.00,195,25,360.3,360.4,360.3
184.0,12237,-50.9,-81.9,1,0.00,198,27,360.5,360.5,360.5
180.0,12380,-51.1,-82.0,1,0.00,205,32,362.5,362.5,362.5
165.0,12943,-51.7,-82.1,1,0.00,230,21,370.5,370.5,370.5
159.0,13183,-52.0,-82.2,1,0.00,210,24,374.0,374.0,374.0
153.0,13432,-52.3,-82.3,2,0.00,227,25,377.6,377.6,377.6
150.0,13560,-53.1,-83.1,1,0.00,235,26,378.4,378.4,378.4
142.0,13910,-54.7,-83.7,2,0.00,265,15,381.6,381.6,381.6
139.0,14046,-55.3,-83.9,2,0.00,255,12,382.8,382.9,382.8
134.0,14280,-56.4,-84.3,2,0.00,195,12,385.0,385.0,385.0
130.0,14473,-57.2,-84.7,2,0.00,180,16,386.8,386.8,386.8
127.0,14623,-57.9,-84.9,2,0.00,195,20,388.1,388.2,388.1
117.0,15140,-58.0,-85.4,2,0.00,265,16,397.1,397.1,397.1
116.0,15194,-58.0,-85.4,2,0.00,260,12,398.1,398.1,398.1
114.0,15304,-58.1,-85.5,2,0.00,230,9,400.0,400.0,400.0
113.0,15359,-58.1,-85.6,2,0.00,215,10,401.0,401.0,401.0
108.0,15645,-58.2,-85.8,2,0.00,235,14,406.0,406.1,406.0
100.0,16130,-58.3,-86.3,2,0.00,240,10,414.8,414.8,414.8
88.0,16929,-59.0,-87.0,2,0.00,245,16,428.9,429.0,428.9
86.0,17073,-59.1,-87.1,2,0.00,265,19,431.5,431.6,431.5
81.0,17447,-59.4,-87.4,2,0.00,310,12,438.4,438.4,438.4
80.0,17525,-59.4,-87.4,2,0.00,320,10,439.8,439.8,439.8
