PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1008.0,32,15.8,13.2,85,9.54,110,6,288.3,315.2,289.9
1003.0,74,16.1,13.2,83,9.59,140,10,288.9,316.1,290.6
1000.0,100,16.2,13.2,82,9.62,150,10,289.4,316.6,291.0
996.0,134,16.8,13.8,82,10.05,162,10,290.3,318.8,292.0
990.0,186,16.4,13.6,84,9.98,180,10,290.4,318.7,292.1
949.0,545,13.3,12.2,93,9.51,180,10,290.8,317.9,292.4
945.0,581,13.0,12.1,94,9.47,183,10,290.8,317.8,292.5
938.0,643,13.2,8.2,72,7.32,189,10,291.6,312.8,292.9
925.0,761,12.4,7.4,72,7.03,200,10,292.0,312.3,293.2
905.0,943,11.0,6.8,75,6.87,230,13,292.4,312.3,293.6
850.0,1464,7.0,4.9,86,6.43,205,18,293.5,312.3,294.6
845.0,1512,6.6,4.7,88,6.37,200,17,293.5,312.2,294.7
832.0,1639,5.5,4.2,91,6.23,215,15,293.7,312.0,294.8
809.0,1869,3.6,3.2,97,5.99,207,17,294.0,311.6,295.1
803.0,1929,3.2,2.8,97,5.86,205,18,294.2,311.5,295.3
787.0,2090,2.2,1.7,96,5.52,225,17,294.9,311.2,295.9
775.0,2214,1.4,0.8,96,5.27,205,19,295.3,311.0,296.3
743.0,2552,-0.7,-1.5,94,4.63,205,23,296.6,310.5,297.4
700.0,3031,-3.7,-4.8,92,3.84,210,19,298.4,310.1,299.1
687.0,3178,-4.8,-5.3,96,3.76,220,16,298.8,310.3,299.5
678.0,3282,-5.5,-5.7,98,3.70,209,15,299.1,310.5,299.8
675.0,3317,-5.7,-5.9,98,3.65,205,15,299.2,310.4,299.9
641.0,3718,-8.3,-8.7,97,3.10,205,16,300.8,310.4,301.3
622.0,3952,-9.8,-10.3,96,2.81,230,17,301.6,310.5,302.1
618.0,4002,-10.1,-10.7,95,2.75,227,16,301.8,310.5,302.3
608.0,4128,-9.9,-11.5,88,2.62,218,14,303.5,311.8,303.9
595.0,4294,-10.3,-15.3,67,1.97,206,10,304.9,311.3,305.2
594.0,4307,-10.4,-15.3,67,1.96,205,10,304.9,311.3,305.3
554.0,4839,-14.2,-16.6,82,1.89,235,7,306.5,312.8,306.9
551.0,4881,-14.5,-16.7,83,1.89,227,8,306.7,312.9,307.0
543.0,4991,-15.1,-18.9,72,1.59,205,11,307.3,312.6,307.6
512.0,5432,-17.4,-27.8,40,0.76,240,16,309.7,312.4,309.9
505.0,5536,-17.9,-29.9,34,0.64,237,17,310.3,312.5,310.4
500.0,5610,-18.5,-28.5,41,0.73,235,18,310.4,313.0,310.6
464.0,6165,-22.7,-35.7,30,0.39,231,17,311.9,313.3,312.0
452.0,6355,-24.2,-36.2,32,0.39,230,17,312.3,313.8,312.4
436.0,6616,-26.3,-36.8,37,0.38,185,19,312.9,314.3,313.0
400.0,7240,-31.3,-38.3,50,0.35,185,26,314.2,315.5,314.3
