PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1005.0,103,10.8,8.0,83,6.74,100,2,283.6,302.4,284.7
1000.0,148,10.2,7.1,81,6.36,100,3,283.4,301.2,284.4
977.0,340,8.5,6.0,84,6.05,55,11,283.6,300.5,284.6
943.0,632,6.0,4.4,90,5.59,85,14,283.9,299.6,284.8
925.0,791,4.6,3.5,93,5.35,65,15,284.0,299.1,284.9
924.0,800,4.6,3.6,93,5.39,65,15,284.1,299.4,285.0
913.0,897,4.7,4.0,95,5.62,65,18,285.1,301.1,286.1
898.0,1033,4.8,4.6,99,5.95,97,14,286.6,303.6,287.7
892.0,1087,4.6,4.3,99,5.89,110,13,286.9,303.7,287.9
850.0,1479,2.8,2.5,98,5.42,130,15,289.1,304.7,290.0
824.0,1728,1.7,1.4,98,5.16,135,13,290.5,305.6,291.4
801.0,1955,0.8,0.4,97,4.93,155,11,291.8,306.3,292.7
784.0,2127,0.0,-0.4,97,4.76,130,11,292.8,306.9,293.7
770.0,2271,-0.6,-1.1,97,4.62,140,5,293.7,307.4,294.5
750.0,2482,-1.5,-2.0,96,4.42,135,10,294.9,308.1,295.7
704.0,2989,-3.7,-4.3,96,3.97,185,18,297.9,310.0,298.6
700.0,3035,-3.9,-4.5,96,3.93,180,18,298.1,310.1,298.8
688.0,3171,-4.5,-5.3,94,3.76,171,15,298.9,310.5,299.6
687.0,3183,-4.6,-5.4,94,3.75,170,15,299.0,310.5,299.7
677.0,3297,-5.3,-6.0,94,3.61,140,14,299.4,310.6,300.1
668.0,3401,-5.9,-6.7,94,3.49,165,12,299.9,310.6,300.5
656.0,3542,-6.8,-7.5,95,3.33,155,16,300.4,310.8,301.0
635.0,3795,-8.4,-9.1,95,3.05,195,19,301.4,311.0,302.0
622.0,3955,-9.4,-10.0,95,2.89,175,19,302.1,311.2,302.6
591.0,4353,-11.9,-12.4,96,2.51,191,17,303.6,311.6,304.1
584.0,4443,-12.6,-14.0,89,2.23,195,16,303.9,311.1,304.3
573.0,4587,-13.7,-16.5,79,1.84,180,20,304.2,310.3,304.6
543.0,4995,-16.7,-23.7,55,1.05,205,19,305.3,308.9,305.5
500.0,5610,-20.9,-29.9,44,0.64,210,14,307.5,309.8,307.6
494.0,5699,-21.6,-30.8,43,0.60,210,13,307.7,309.8,307.8
471.0,6048,-24.3,-34.3,39,0.45,226,11,308.6,310.2,308.7
466.0,6125,-24.8,-34.5,40,0.44,230,10,308.9,310.5,309.0
447.0,6425,-26.8,-35.4,44,0.42,235,6,310.1,311.6,310.1
421.0,6857,-29.7,-36.7,51,0.39,214,14,311.7,313.2,311.8
416.0,6942,-30.4,-37.6,49,0.36,210,15,311.9,313.2,311.9
400.0,7220,-32.7,-40.7,45,0.27,220,15,312.4,313.4,312.5
395.0,7307,-33.4,-41.2,45,0.26,220,17,312.6,313.6,312.6
357.0,8006,-39.2,-45.3,53,0.19,200,29,314.0,314.7,314.0
336.0,8425,-42.7,-47.7,58,0.15,205,34,314.7,315.3,314.7
312.0,8919,-47.0,-52.0,56,0.10,210,41,315.4,315.8,315.4
300.0,9180,-49.3,-54.3,56,0.08,215,40,315.8,316.1,315.8
277.0,9694,-54.3,-59.3,54,0.05,215,32,315.9,316.1,315.9
276.0,9717,-54.5,-59.5,54,0.05,215,32,315.9,316.1,315.9
250.0,10340,-59.3,-65.3,46,0.02,225,38,317.8,317.9,317.8
241.0,10568,-61.0,-67.0,45,0.02,225,40,318.6,318.7,318.6
231.0,10831,-62.9,-68.9,44,0.02,225,51,319.6,319.6,319.6
225.0,10995,-61.7,-69.3,36,0.02,220,60,323.9,323.9,323.9
213.0,11336,-59.1,-70.1,23,0.01,232,47,333.0,333.0,333.0
205.0,11575,-59.8,-73.3,16,0.01,240,38,335.5,335.5,335.5
200.0,11730,-60.3,-75.3,12,0.01,240,37,337.1,337.1,337.1
196.0,11856,-61.5,-75.5,14,0.01,238,35,337.2,337.2,337.2
189.0,12084,-60.3,-76.4,10,0.01,235,32,342.6,342.6,342.6
185.0,12218,-59.6,-76.9,9,0.01,220,28,345.8,345.8,345.8
177.0,12496,-58.2,-78.0,6,0.01,195,38,352.5,352.5,352.5
173.0,12639,-57.5,-78.5,5,0.00,197,42,356.0,356.0,356.0
164.0,12977,-58.0,-79.8,5,0.00,200,50,360.6,360.6,360.6
151.0,13498,-58.8,-81.7,4,0.00,225,28,367.8,367.8,367.8
150.0,13540,-58.9,-81.9,4,0.00,220,28,368.4,368.4,368.4
132.0,14338,-61.3,-83.3,4,0.00,215,39,377.8,377.8,377.8
129.0,14482,-60.2,-83.0,4,0.00,210,45,382.2,382.2,382.2
120.0,14936,-56.9,-81.9,3,0.00,228,31,396.3,396.4,396.3
119.0,14989,-57.1,-82.0,3,0.00,230,29,396.9,396.9,396.9
114.0,15258,-58.1,-82.6,3,0.00,210,24,399.9,399.9,399.9
109.0,15539,-59.2,-83.2,3,0.00,200,18,403.0,403.0,403.0
100.0,16080,-61.3,-84.3,3,0.00,240,26,409.0,409.0,409.0
95.0,16398,-61.2,-84.7,3,0.00,250,21,415.2,415.3,415.2
90.2,16720,-61.1,-85.1,3,0.00,238,30,421.6,421.7,421.6
87.0,16946,-59.2,-83.7,3,0.00,230,36,429.9,429.9,429.9
84.0,17166,-57.3,-82.2,3,0.01,215,17,437.9,438.0,437.9
83.3,17219,-56.9,-81.9,3,0.01,218,17,439.9,439.9,439.9
79.0,17551,-58.1,-82.5,3,0.01,235,15,444.1,444.1,444.1
77.0,17712,-58.7,-82.8,3,0.01,215,10,446.1,446.2,446.1
75.0,17877,-59.3,-83.1,3,0.01,230,16,448.2,448.3,448.2
71.0,18221,-60.6,-83.7,3,0.01,240,26,452.6,452.6,452.6
70.0,18310,-60.9,-83.9,3,0.01,255,25,453.8,453.8,453.8
68.0,18490,-61.6,-84.6,3,0.00,270,20,456.1,456.1,456.1
66.0,18676,-62.3,-85.3,3,0.00,240,10,458.4,458.5,458.4
