PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
999.0,32,16.8,11.8,72,8.77,200,12,290.0,315.0,291.6
996.0,57,16.5,11.7,73,8.75,215,13,290.0,314.9,291.6
972.0,264,14.4,11.1,81,8.60,205,19,289.9,314.4,291.4
931.0,628,10.6,10.0,96,8.34,218,18,289.6,313.4,291.1
925.0,682,10.2,9.8,97,8.28,220,18,289.7,313.3,291.2
910.0,818,9.5,9.2,98,8.07,235,17,290.4,313.5,291.8
860.0,1286,7.3,7.0,98,7.38,200,14,292.8,314.2,294.1
850.0,1383,6.8,6.6,99,7.24,195,14,293.3,314.3,294.5
809.0,1786,4.5,4.2,98,6.45,200,12,295.0,313.9,296.1
788.0,2000,3.3,3.0,98,6.06,185,10,295.9,313.8,297.0
772.0,2167,2.3,2.0,98,5.77,165,12,296.6,313.8,297.6
754.0,2359,1.2,0.9,98,5.45,164,17,297.4,313.7,298.4
721.0,2715,-4.7,-7.4,81,3.06,162,27,294.8,304.1,295.3
719.0,2737,-5.1,-5.4,98,3.57,161,27,294.5,305.3,295.2
703.0,2914,-6.5,-10.1,76,2.54,160,32,294.9,302.7,295.4
700.0,2947,-6.5,-10.4,74,2.49,160,33,295.3,302.9,295.7
695.0,3003,-6.7,-12.7,62,2.08,160,34,295.6,302.2,296.0
689.0,3071,-6.4,-14.9,51,1.76,160,35,296.7,302.3,297.0
683.0,3139,-6.1,-17.1,41,1.47,163,33,297.8,302.5,298.1
659.0,3415,-8.1,-17.4,47,1.49,175,27,298.6,303.4,298.8
643.0,3604,-9.5,-17.6,52,1.51,165,25,299.1,303.9,299.4
633.0,3725,-10.4,-17.7,55,1.52,180,23,299.4,304.3,299.7
620.0,3885,-11.6,-17.8,60,1.53,200,28,299.8,304.8,300.1
589.0,4280,-14.5,-18.2,73,1.56,193,29,300.9,305.9,301.2
562.0,4635,-16.5,-23.5,55,1.03,186,30,302.6,306.0,302.8
558.0,4688,-17.0,-23.9,55,1.00,185,30,302.6,306.0,302.8
537.0,4972,-19.6,-26.2,56,0.85,200,29,302.8,305.7,303.0
522.0,5183,-21.6,-27.8,57,0.75,185,31,302.9,305.5,303.1
509.0,5370,-23.3,-29.3,58,0.67,195,36,303.0,305.3,303.1
503.0,5456,-24.0,-33.3,42,0.46,200,38,303.2,304.9,303.3
500.0,5500,-24.3,-35.3,35,0.38,200,38,303.4,304.7,303.4
499.0,5515,-24.3,-35.3,35,0.38,200,38,303.5,304.9,303.6
493.0,5603,-24.9,-30.9,57,0.59,199,38,303.8,305.9,303.9
470.0,5949,-27.6,-32.4,64,0.54,195,36,304.6,306.5,304.7
468.0,5980,-27.9,-32.5,65,0.54,192,36,304.7,306.6,304.8
453.0,6212,-29.9,-34.6,63,0.45,170,37,305.0,306.6,305.1
429.0,6600,-33.3,-38.2,61,0.33,170,51,305.5,306.7,305.5
424.0,6683,-33.8,-40.7,50,0.26,170,54,305.8,306.8,305.9
414.0,6850,-34.9,-45.9,32,0.15,168,54,306.5,307.1,306.6
400.0,7090,-36.7,-44.7,43,0.18,165,55,307.2,307.9,307.2
387.0,7318,-39.1,-46.1,47,0.16,165,52,307.0,307.6,307.0
375.0,7532,-41.0,-49.4,40,0.11,165,50,307.2,307.7,307.3
361.0,7790,-43.3,-53.3,32,0.07,153,46,307.5,307.8,307.5
358.0,7846,-43.6,-53.8,32,0.07,150,45,307.8,308.1,307.8
323.0,8532,-47.7,-59.6,24,0.04,130,51,311.3,311.5,311.3
320.0,8594,-48.1,-60.1,24,0.04,131,52,311.6,311.8,311.7
318.0,8635,-47.1,-60.1,21,0.04,132,53,313.6,313.8,313.6
309.0,8825,-47.9,-62.4,17,0.03,135,57,315.1,315.2,315.1
300.0,9020,-48.7,-64.7,14,0.02,145,52,316.6,316.7,316.6
278.0,9518,-50.3,-68.3,10,0.01,150,50,321.3,321.3,321.3
250.0,10210,-49.7,-72.7,5,0.01,165,41,332.1,332.1,332.1
242.0,10425,-47.1,-71.1,5,0.01,170,39,339.0,339.1,339.1
222.0,10993,-49.2,-72.7,5,0.01,185,33,344.3,344.4,344.3
200.0,11680,-51.7,-74.7,5,0.01,195,43,350.7,350.8,350.7
194.0,11877,-52.3,-74.3,5,0.01,200,50,352.8,352.9,352.9
185.0,12182,-52.6,-74.9,5,0.01,205,58,357.1,357.2,357.2
175.0,12539,-53.0,-75.6,5,0.01,215,63,362.3,362.3,362.3
162.0,13035,-53.5,-76.5,4,0.01,233,49,369.5,369.5,369.5
157.0,13237,-53.1,-76.1,4,0.01,240,43,373.5,373.5,373.5
150.0,13530,-52.5,-75.5,5,0.01,235,36,379.4,379.5,379.4
149.0,13573,-52.3,-76.3,4,0.01,234,35,380.5,380.5,380.5
146.0,13704,-53.0,-76.7,4,0.01,230,31,381.5,381.5,381.5
144.0,13792,-53.5,-77.0,4,0.01,215,28,382.2,382.2,382.2
141.0,13927,-54.2,-77.5,4,0.01,200,30,383.2,383.3,383.2
135.0,14206,-55.7,-78.4,4,0.01,200,38,385.4,385.4,385.4
128.0,14548,-57.5,-79.5,4,0.01,215,47,388.0,388.0,388.0
126.0,14647,-57.5,-79.5,4,0.01,220,50,389.7,389.7,389.7
123.0,14800,-57.6,-79.6,4,0.01,230,44,392.3,392.3,392.3
116.0,15171,-57.7,-79.7,4,0.01,215,42,398.6,398.7,398.6
100.0,16110,-58.1,-80.1,4,0.01,225,38,415.2,415.2,415.2
95.1,16429,-54.7,-76.7,5,0.01,249,32,427.9,427.9,427.9
